identificationCode,assessmentIdentifier,namespace
3_MathLev1,SC_READY_Mathematics,uri://datarecognitioncorp.com/Assessment
3_MathLev2,SC_READY_Mathematics,uri://datarecognitioncorp.com/Assessment
3_MathLev3,SC_READY_Mathematics,uri://datarecognitioncorp.com/Assessment
3_MathLev4,SC_READY_Mathematics,uri://datarecognitioncorp.com/Assessment
3_MathLev5,SC_READY_Mathematics,uri://datarecognitioncorp.com/Assessment
4_MathLev1,SC_READY_Mathematics,uri://datarecognitioncorp.com/Assessment
4_MathLev2,SC_READY_Mathematics,uri://datarecognitioncorp.com/Assessment
4_MathLev3,SC_READY_Mathematics,uri://datarecognitioncorp.com/Assessment
4_MathLev4,SC_READY_Mathematics,uri://datarecognitioncorp.com/Assessment
4_MathLev5,SC_READY_Mathematics,uri://datarecognitioncorp.com/Assessment
5_MathLev1,SC_READY_Mathematics,uri://datarecognitioncorp.com/Assessment
5_MathLev2,SC_READY_Mathematics,uri://datarecognitioncorp.com/Assessment
5_MathLev3,SC_READY_Mathematics,uri://datarecognitioncorp.com/Assessment
5_MathLev4,SC_READY_Mathematics,uri://datarecognitioncorp.com/Assessment
5_MathLev5,SC_READY_Mathematics,uri://datarecognitioncorp.com/Assessment
6_MathLev1,SC_READY_Mathematics,uri://datarecognitioncorp.com/Assessment
6_MathLev2,SC_READY_Mathematics,uri://datarecognitioncorp.com/Assessment
6_MathLev3,SC_READY_Mathematics,uri://datarecognitioncorp.com/Assessment
6_MathLev4,SC_READY_Mathematics,uri://datarecognitioncorp.com/Assessment
6_MathLev5,SC_READY_Mathematics,uri://datarecognitioncorp.com/Assessment
7_MathLev1,SC_READY_Mathematics,uri://datarecognitioncorp.com/Assessment
7_MathLev2,SC_READY_Mathematics,uri://datarecognitioncorp.com/Assessment
7_MathLev3,SC_READY_Mathematics,uri://datarecognitioncorp.com/Assessment
7_MathLev4,SC_READY_Mathematics,uri://datarecognitioncorp.com/Assessment
7_MathLev5,SC_READY_Mathematics,uri://datarecognitioncorp.com/Assessment
8_MathLev1,SC_READY_Mathematics,uri://datarecognitioncorp.com/Assessment
8_MathLev2,SC_READY_Mathematics,uri://datarecognitioncorp.com/Assessment
8_MathLev3,SC_READY_Mathematics,uri://datarecognitioncorp.com/Assessment
8_MathLev4,SC_READY_Mathematics,uri://datarecognitioncorp.com/Assessment
8_MathLev5,SC_READY_Mathematics,uri://datarecognitioncorp.com/Assessment
3_ELALev1,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
3_ELALev2,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
3_ELALev3,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
3_ELALev4,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
3_ELALev5,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
3_ELALev6,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
3_ELALev7,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
3_ELALev8,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
3_ELALev9,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
3_ELALev11,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
4_ELALev1,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
4_ELALev2,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
4_ELALev3,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
4_ELALev4,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
4_ELALev5,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
4_ELALev6,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
4_ELALev7,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
4_ELALev8,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
4_ELALev9,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
4_ELALev11,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
5_ELALev1,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
5_ELALev2,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
5_ELALev3,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
5_ELALev4,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
5_ELALev5,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
5_ELALev6,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
5_ELALev7,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
5_ELALev8,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
5_ELALev9,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
5_ELALev11,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
6_ELALev1,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
6_ELALev2,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
6_ELALev3,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
6_ELALev4,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
6_ELALev5,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
6_ELALev6,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
6_ELALev7,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
6_ELALev8,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
6_ELALev9,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
6_ELALev11,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
7_ELALev1,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
7_ELALev2,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
7_ELALev3,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
7_ELALev4,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
7_ELALev5,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
7_ELALev6,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
7_ELALev7,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
7_ELALev8,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
7_ELALev9,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
7_ELALev11,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
8_ELALev1,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
8_ELALev2,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
8_ELALev3,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
8_ELALev4,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
8_ELALev5,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
8_ELALev6,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
8_ELALev7,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
8_ELALev8,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
8_ELALev9,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
8_ELALev11,SC_READY_ELA,uri://datarecognitioncorp.com/Assessment
3_SciLev1,SC_READY_Science,uri://datarecognitioncorp.com/Assessment
4_SciLev1,SC_READY_Science,uri://datarecognitioncorp.com/Assessment
5_SciLev1,SC_READY_Science,uri://datarecognitioncorp.com/Assessment
6_SciLev1,SC_READY_Science,uri://datarecognitioncorp.com/Assessment
7_SciLev1,SC_READY_Science,uri://datarecognitioncorp.com/Assessment
8_SciLev1,SC_READY_Science,uri://datarecognitioncorp.com/Assessment
3_SciLev2,SC_READY_Science,uri://datarecognitioncorp.com/Assessment
4_SciLev2,SC_READY_Science,uri://datarecognitioncorp.com/Assessment
5_SciLev2,SC_READY_Science,uri://datarecognitioncorp.com/Assessment
6_SciLev2,SC_READY_Science,uri://datarecognitioncorp.com/Assessment
7_SciLev2,SC_READY_Science,uri://datarecognitioncorp.com/Assessment
8_SciLev2,SC_READY_Science,uri://datarecognitioncorp.com/Assessment
3_SciLev3,SC_READY_Science,uri://datarecognitioncorp.com/Assessment
4_SciLev3,SC_READY_Science,uri://datarecognitioncorp.com/Assessment
5_SciLev3,SC_READY_Science,uri://datarecognitioncorp.com/Assessment
6_SciLev3,SC_READY_Science,uri://datarecognitioncorp.com/Assessment
7_SciLev3,SC_READY_Science,uri://datarecognitioncorp.com/Assessment
8_SciLev3,SC_READY_Science,uri://datarecognitioncorp.com/Assessment
3_SciLev4,SC_READY_Science,uri://datarecognitioncorp.com/Assessment
4_SciLev4,SC_READY_Science,uri://datarecognitioncorp.com/Assessment
5_SciLev4,SC_READY_Science,uri://datarecognitioncorp.com/Assessment
6_SciLev4,SC_READY_Science,uri://datarecognitioncorp.com/Assessment
7_SciLev4,SC_READY_Science,uri://datarecognitioncorp.com/Assessment
8_SciLev4,SC_READY_Science,uri://datarecognitioncorp.com/Assessment
