assessmentIdentifier,identificationCode
staar_interim_Mathematics,"Numerical Representations and Relationships"
staar_interim_Mathematics,"Computations and Algebraic Relationships"
staar_interim_Mathematics,"Geometry and Measurement"
staar_interim_Mathematics,"Data Analysis and Personal Financial Literacy"
staar_interim_Reading,"Reading"
staar_interim_Reading,"Writing"
staar_interim_Science,"Matter and Energy"
staar_interim_Science,"Force, Motion, and Energy"
staar_interim_Science,"Earth and Space"
staar_interim_Science,"Organisms and Environments"
staar_interim_Social_Studies,"History"
staar_interim_Social_Studies,"Geography and Culture"
staar_interim_Social_Studies,"Government and Citizenship"
staar_interim_Social_Studies,"Economics, Science, Technology, and Society"
staar_interim_Mathematics,"Number and Algebraic Methods"
staar_interim_Mathematics,"Describing and Graphing Linear Functions, Equations and Inequalities"
staar_interim_Mathematics,"Writing and Solving Linear Functions, Equations and Inequalities"
staar_interim_Mathematics,"Quadratic Functions and Equations"
staar_interim_Mathematics,"Exponential Functions and Equations"
staar_interim_Science,"Cell Structure and Function"
staar_interim_Science,"Mechanisms of Genetics"
staar_interim_Science,"Biological Evolution and Classification"
staar_interim_Science,"Biological Processes and Systems"
staar_interim_Science,"Interdependence within Environmental Systems"
