codeValue,description,namespace,shortDescription
1,Does Not Meet Grade Level,uri://tea.texas.gov/PerformanceLevelDescriptor,1
2,Approaches Grade Level,uri://tea.texas.gov/PerformanceLevelDescriptor,2
3,Meets Grade Level,uri://tea.texas.gov/PerformanceLevelDescriptor,3
4,Masters Grade Level,uri://tea.texas.gov/PerformanceLevelDescriptor,4
Above,Above Target,uri://tea.texas.gov/PerformanceLevelDescriptor,Above
Near,Near Target,uri://tea.texas.gov/PerformanceLevelDescriptor,Near
Under,Under Target,uri://tea.texas.gov/PerformanceLevelDescriptor,Under
Predicted to be Did Not Meet Grade Level,Predicted to be Did Not Meet Grade Level,uri://tea.texas.gov/PerformanceLevelDescriptor,Predicted to be Did Not Meet Grade Level
Predicted to be Approaches Grade Level,Predicted to be Approaches Grade Level,uri://tea.texas.gov/PerformanceLevelDescriptor,Predicted to be Approaches Grade Level
Predicted to be Meets Grade Level,Predicted to be Meets Grade Level,uri://tea.texas.gov/PerformanceLevelDescriptor,Predicted to be Meets Grade Level
Predicted to be Masters Grade Level,Predicted to be Masters Grade Level,uri://tea.texas.gov/PerformanceLevelDescriptor,Predicted to be Masters Grade Level
