start_index,end_index,field_length,field_name
0,4,4,administration_date
4,6,2,grade_level_code
6,8,2,esc_region_number
8,17,9,county_district_campus_number
17,32,15,district_name
32,47,15,campus_name
47,62,15,last_name
62,72,10,first_name
72,73,1,middle_initial
73,82,9,student_id
82,83,1,sex_code
83,91,8,date_of_birth
91,92,1,blank_14
92,93,1,hispanic_latino_code
93,94,1,american_indian_alaska_native_code
94,95,1,asian_code
95,96,1,black_african_american_code
96,97,1,native_hawaiian_pacific_islander_code
97,98,1,white_code
98,99,1,ethnicity/race_reporting_category
99,100,1,economic_disadvantage_code
100,101,1,title_i_part_a_indicator_code
101,102,1,migrant_indicator_code
102,106,4,blank_27
106,107,1,emergent_bilingual_indicator_code
107,108,1,bilingual_indicator_code
108,109,1,esl_indicator_code
109,110,1,blank_31
110,111,1,special_ed_indicator_code
111,116,5,blank_33
116,117,1,gifted_talented_indicator_code
117,118,1,at_risk_indicator_code
118,122,4,blank_36
122,131,9,local_student_id
131,143,12,blank_39
143,152,9,fall_2020_tsds_peims_county_district_campus_number
152,154,2,fall_2020_tsds_peims_crisis_code
154,156,2,fall_2020_tsds_peims_studentattribution_code
156,162,6,student_portal_unique_accesscode
162,163,1,migrant_student_in_texas_migrantinterstate_program_(tmip)
163,164,1,fall_2020_tsds_peims_dyslexia_indicator_code
164,165,1,fall_2020_tsds_peims_military_connected_student_code
165,166,1,fall_2020_tsds_peims_foster_careindicator
166,186,20,class_group_name
186,189,3,blank_50
189,190,1,new_to_texas
190,200,10,tx_unique_student_id
200,204,4,local_use_reading
204,208,4,local_use_mathematics
208,212,4,local_use_writing
212,216,4,local_use_social_studies
216,220,4,local_use_science
220,225,5,agency_use_reading
225,230,5,agency_use_mathematics
230,235,5,agency_use_writing
235,240,5,agency_use_social_studies
240,245,5,agency_use_science
245,350,105,blank_81
350,351,1,score_code_reading
351,352,1,score_code_mathematics
352,353,1,score_code_writing
353,354,1,score_code_social_studies
354,355,1,score_code_science
355,400,45,blank_89
400,406,6,reading_reporting_category_scores
406,408,2,reading_raw_score
408,412,4,reading_scale_score
412,413,1,blank_96
413,414,1,reading_test_version
414,415,1,blank_98
415,416,1,reading_translated_studentmaterials
416,423,7,blank_100
423,424,1,level_ii__satisfactory_academic_performance_in_reading
424,425,1,level_iii__accomplished_academic_performance_in_reading
425,426,1,staar_alternate_2_readingprogress_measure
426,428,2,blank_105
428,429,1,on_track_to_level_ii__satisfactoryacademic_performance_reading
429,433,4,previous_year_administration_date__reading
433,437,4,previous_year_scale_score__reading
437,439,2,blank_109
439,440,1,previous_year_score_code__reading
440,441,1,previous_year_level_ii__satisfactoryacademic_performance_reading
441,442,1,previous_year_level_iii_accomplished_academic_performance_reading
442,444,2,previous_year_tested_grade__reading
444,650,206,blank_115
650,651,1,color_or_highlight_117
651,652,1,color_overlays_118
652,653,1,blank_119
653,654,1,photographs_or_objects_120
654,655,1,textured_materials_121
655,656,1,demonstrate_122
656,657,1,raise_or_darken_outline_123
657,658,1,enlarge_124
658,659,1,braille_125
659,660,1,describe_images_126
660,661,1,provide_images_or_text_separately_127
661,662,1,isolate_images_128
662,663,1,picture_representations_129
663,664,1,reread_text_130
664,665,1,"use_calculator,_manipulatives,_ormath_tools_131"
665,666,1,provide_structured_reminders_132
666,750,84,blank_133
750,758,2,mathematics_reporting_category_scores
758,760,2,blank_139
760,762,2,mathematics_raw_score
762,766,4,mathematics_scale_score
766,767,1,blank_142
767,768,1,mathematics_test_version
768,769,1,blank_144
769,770,1,mathematics_translated_studentmaterials
770,777,7,blank_147
777,778,1,level_ii__satisfactory_academic_performance_in_mathematics
