start_index,end_index,field_length,field_name
0,4,4,administration_date
4,6,2,grade_level_code
6,8,2,esc_region_number
8,17,9,county_district_campus_number
17,32,15,district_name
32,47,15,campus_name
47,62,15,last_name
62,72,10,first_name
72,73,1,middle_initial
73,82,9,student_id
82,83,1,sex_code
83,91,8,date_of_birth
91,92,1,blank_14
92,93,1,hispanic_latino_code
93,94,1,american_indian_alaska_native_code
94,95,1,asian_code
95,96,1,black_african_american_code
96,97,1,native_hawaiian_pacific_islander_code
97,98,1,white_code
98,99,1,ethnicity/race_reporting_category
99,100,1,economic_disadvantage_code
100,101,1,title_i_part_a_indicator_code
101,102,1,migrant_indicator_code
102,106,4,blank_28
106,107,1,emergent_bilingual_indicator_code
107,108,1,bilingual_indicator_code
108,109,1,esl_indicator_code
109,110,1,blank_32
110,111,1,special_ed_indicator_code
111,116,5,blank_34
116,117,1,gifted_talented_indicator_code
117,118,1,at_risk_indicator_code
118,122,4,blank_37
122,131,9,local_student_id
131,140,9,test_result_id
140,143,3,blank_42
143,152,9,fall_2021_tsds_peims_county_district_campus_number
152,154,2,blank_44
154,156,2,fall_2021_tsds_peims_studentattribution_code
156,162,6,student_portal_unique_accesscode
162,163,1,migrant_student_in_texas_migrantinterstate_program_(tmip)
163,164,1,blank_48
164,165,1,fall_2021_tsds_peims_military_connected_student_code
165,166,1,fall_2021_tsds_peims_foster_careindicator
166,186,20,blank_51
186,187,1,fall_2021_tsds_peims_dyslexia_indicator_code
187,189,2,blank_53
189,190,1,new_to_texas
190,200,10,tx_unique_student_id
200,202,2,end_of_course_code
202,206,4,local_use
206,214,8,blank_60
214,215,1,agency_use_a
215,216,1,agency_use_b
216,217,1,agency_use_c
217,218,1,agency_use_d
218,219,1,agency_use_e
219,290,71,blank_66
290,291,1,score_code
291,305,14,blank_69
305,306,1,test_version
306,307,1,blank_71
307,308,1,translated_student_materials
308,350,42,blank_73
350,352,2,reporting_category_1_raw_score
352,354,2,reporting_category_2_raw_score
354,356,2,reporting_category_3_raw_score
356,358,2,reporting_category_4_raw_score
358,360,2,reporting_category_5_raw_score
360,362,2,reporting_category_6_raw_score
362,364,2,blank_80
364,366,2,raw_score
366,370,4,scale_score
370,389,19,blank_83
389,390,1,level_ii__satisfactory_academic_performance
390,391,1,level_iii__accomplished_academic_performance
391,399,8,blank_86
399,400,1,staar_alternate_2_progressmeasure
400,401,1,on_track_to_level_ii__satisfactoryacademic_performance_(english_i)
401,405,4,previous_year_administration_date
405,409,4,previous_year_scale_score
409,410,1,blank_93
410,411,1,previous_year_score_code
411,412,1,blank_95
412,413,1,previous_year_level_ii__satisfactoryacademic_performance
413,414,1,previous_year_level_iii_accomplished_academic_performance
414,416,2,previous_year_testedgrade/course
416,700,284,blank_99
700,701,1,color_or_highlight
701,702,1,color_overlays
702,703,1,blank_103
703,704,1,photographs_or_objects
704,705,1,textured_materials
705,706,1,demonstrate
706,707,1,raise_or_darken_outline
707,708,1,enlarge
708,709,1,braille
709,710,1,describe_images
710,711,1,provide_images_or_text_separately
711,712,1,isolate_images
712,713,1,picture_representations
713,714,1,reread_text
714,715,1,"use_calculator,_manipulatives,_ormath_tools"
715,716,1,provide_structured_reminders
716,1622,906,blank_118
1622,1625,3,fall_2021_tsds_peims_crisis_code_1
1625,1628,3,fall_2021_tsds_peims_crisis_code_2
1628,1631,3,fall_2021_tsds_peims_crisis_code_3
1631,1667,36,opportunity_key
1667,1668,1,non_participant_online_refusal
1668,1999,331,blank_126
1999,2000,1,period
