start_index,end_index,field_length,field_name
0,4,4,administration_date
4,6,2,grade_level_code
6,8,2,esc_region_number
8,17,9,county_district_campus_number
17,32,15,district_name
32,47,15,campus_name
47,62,15,last_name
62,72,10,first_name
72,73,1,middle_initial
73,82,9,student_id
82,83,1,sex_code
83,91,8,date_of_birth
91,92,1,blank_15
92,93,1,hispanic_latino_code
93,94,1,american_indian_alaska_native_code
94,95,1,asian_code
95,96,1,black_african_american_code
96,97,1,native_hawaiian_pacific_islander_code
97,98,1,white_code
98,99,1,ethnicity/race_reportingcategory
99,100,1,economic_disadvantage_code
100,101,1,title_i_part_a_indicator_code
101,102,1,migrant_indicator_code
102,106,4,blank_29
106,107,1,emergent_bilingual_indicatorcode
107,108,1,bilingual_indicator_code
108,109,1,esl_indicator_code
109,110,1,blank_33
110,111,1,special_ed_indicator_code
111,116,5,blank_35
116,117,1,gifted_talented_indicator_code
117,118,1,at_risk_indicator_code
118,122,4,blank_38
122,131,9,local_student_id
131,140,9,test_result_id
140,142,2,blank_44
142,143,1,discrepancy_indicator
143,152,9,fall_2021_tsds_peims_county_district_campus_number
152,154,2,blank_47
154,156,2,fall_2021_tsds_peims_studentattribution_code
156,162,6,family_portal_unique_access_code
162,163,1,migrant_student_in_texas_migrantinterstate_program_(tmip)
163,164,1,high_school_equivalency_program(hsep)
164,165,1,fall_2021_tsds_peims_military_connected_student_code
165,166,1,fall_2021_tsds_peims_foster_careindicator
166,186,20,blank_54
186,187,1,fall_2021_tsds_peims_dyslexia_indicator_code
187,189,2,blank_56
189,190,1,new_to_texas
190,200,10,tx_unique_student_id
200,202,2,end_of_course_code
202,206,4,local_use
206,214,8,blank_64
214,215,1,column_a:_tea_approved_uses
215,216,1,column_b:_tea_approved_uses
216,217,1,column_c:_tea_approved_uses
217,218,1,column_d:_tea_approved_uses
218,219,1,column_e:_tea_approved_uses
219,232,13,blank_71
232,233,1,for_taks/taas/teams_testersonly
233,251,18,blank_73
251,252,1,designated_supports
252,253,1,braille/refreshable_braille_deviceand_screen_reader
253,254,1,large_print
254,255,1,oral_administration
255,256,1,extra_day
256,257,1,blank_80
257,258,1,text_to_speech
258,259,1,speech_to_text
259,260,1,auto_text_to_speech
260,261,1,content_and_language_supports
261,262,1,spelling_assistance
262,263,1,asl_signed_videos
263,290,27,blank_89
290,291,1,score_code
291,295,4,blank_92
295,296,1,score_code_default
296,300,4,blank_94
300,301,1,test_administration_mode
301,305,4,blank_97
305,306,1,test_version
306,307,1,first_time_tester/retester
307,350,43,blank_102
350,352,2,reporting_category_1_raw_score
352,354,2,reporting_category_2_raw_score
354,356,2,reporting_category_3_raw_score
356,358,2,reporting_category_4_raw_score
358,360,2,reporting_category_5_raw_score
360,362,2,reporting_category_6_raw_score
362,364,2,blank_112
364,366,2,raw_score
366,370,4,scale_score
370,372,2,blank_115
372,373,1,written_composition_score
373,375,2,t/t/t_tester_english_ii_readingraw_score
375,376,1,t/t/t_tester_english_ii_readingperformance_information
376,378,2,t/t/t_tester_english_ii_writingraw_score
378,379,1,t/t/t_tester_english_ii_writingperformance_information
379,380,1,t/t/t_tester_algebra_iperformance_information
380,381,1,t/t/t_tester_biology_performanceinformation
381,382,1,t/t/t_tester_english_iiperformance_information
382,383,1,t/t/t_tester_u.s._historyperformance_information
383,384,1,taks/taas/teams_testerindicator
384,386,2,blank_129
386,387,1,students_passing_standard_forapproaches_grade_level
387,388,1,blank_135
388,389,1,meets_grade_level
389,390,1,approaches_grade_level_at_the_students_standard
390,391,1,masters_grade_level
391,392,1,approaches_grade_level_at_the_2012_2015_standard
392,393,1,approaches_grade_level_at_the_current_standard
