start_index,end_index,field_length,field_name
0,4,4,administration_date
4,6,2,grade_level_code
6,8,2,esc_region_number
8,17,9,county_district_campus_number
17,32,15,district_name
32,47,15,campus_name
47,62,15,last_name
62,72,10,first_name
72,73,1,middle_initial
73,82,9,peims_id
82,83,1,sex_code
83,91,8,date_of_birth
91,92,1,blank_14
92,93,1,hispanic_latino_code
93,94,1,american_indian_alaska_native_code
94,95,1,asian_code
95,96,1,black_african_american_code
96,97,1,native_hawaiian_pacific_islander_code
97,98,1,white_code
98,99,1,ethnicity/race_reporting_category
99,100,1,economic_disadvantage_code
100,101,1,title_i_part_a_indicator_code
101,102,1,migrant_indicator_code
102,106,4,blank_26
106,107,1,emergent_bilingual_indicator_code
107,108,1,bilingual_indicator_code
108,109,1,esl_indicator_code
109,110,1,fall_2025_tsds_peims_homeless_status_code
110,111,1,special_ed_indicator_code
111,112,1,section_504_indicator_code
112,116,4,blank_33
116,117,1,gifted_talented_indicator_code
117,118,1,at_risk_indicator_code
118,122,4,blank_36
122,131,9,local_student_id
131,140,9,test_result_id
140,142,2,blank_40
142,143,1,discrepancy_indicator
143,152,9,fall_2025_tsds_peims_county_district_campus_number
152,154,2,fall_2025_tsds_peims_student_language_code
154,156,2,fall_2025_tsds_peims_student_attribution_code
156,162,6,family_portal_unique_access_code
162,163,1,migrant_student_in_texas_migrant_interstate_program_(tmip)
163,164,1,high_school_equivalency_program_(hsep)
164,165,1,fall_2025_tsds_peims_military_connected_student_code
165,166,1,fall_2025_tsds_peims_foster_care_indicator_code
166,186,20,blank_51
186,187,1,fall_2025_tsds_peims_dyslexia_indicator_code
187,189,2,blank_53
189,190,1,new_to_texas
190,200,10,tsds_id
200,202,2,end_of_course_code
202,206,4,local_use
206,214,8,blank_66
214,215,1,agency_use_code_a
215,216,1,agency_use_code_b
216,217,1,agency_use_code_c
217,218,1,agency_use_code_d
218,219,1,agency_use_code_e
219,232,13,blank_73
232,233,1,for_taks/taas/teams_testers_only
233,252,19,blank_75
252,253,1,braille/refreshable_braille_device_and_screen_reader
253,254,1,large_print
254,255,1,non_embedded_designated_supports
255,256,1,extra_day
256,257,1,word_prediction_(co:writer)
257,258,1,text_to_speech
258,259,1,speech_to_text
259,260,1,auto_text_to_speech
260,261,1,content_and_language_supports
261,262,1,spell_check
262,263,1,asl_signed_videos
263,290,27,blank_97
290,291,1,score_code
291,295,4,blank_100
295,296,1,score_code_default
296,300,4,blank_102
300,301,1,test_administration_mode
301,302,1,ecr_auto_rescore
302,305,3,blank_107
305,306,1,test_version
306,307,1,first_time_tester/retester
307,350,43,blank_112
350,352,2,reporting_category_1_raw_score
352,354,2,reporting_category_2_raw_score
354,356,2,reporting_category_3_raw_score
356,358,2,reporting_category_4_raw_score
358,360,2,reporting_category_5_raw_score
360,361,1,ecr_trait_score_ideas
361,362,1,ecr_trait_score_conventions
362,364,2,performance_level_indicator
364,366,2,raw_score
366,370,4,scale_score
370,371,1,extended_constructed_response_condition_code
371,373,2,extended_constructed_response_score
373,375,2,t/t/t_tester_english_ii_r_eading_raw_score
375,376,1,t/t/t_tester_english_ii_reading_performance_information
376,378,2,t/t/t_tester_english_ii_w_riting_raw_score
378,379,1,t/t/t_tester_english_ii_writing_performance_information
379,380,1,t/t/t_tester_algebra_i_performance_information
380,381,1,t/t/t_tester_biology_performance_information
381,382,1,t/t/t_tester_english_ii_performance_information
382,383,1,t/t/t_tester_u.s._history_performance_information
383,384,1,taks/taas/teams_tester_indicator
384,386,2,blank_150
386,387,1,student’s_passing_standard_for_approaches_grade_level
387,388,1,blank_154
388,389,1,meets_grade_level
