start_index,end_index,field_length,field_name
0,4,4,administration_date
4,6,2,grade_level_tested
6,8,2,esc_region_number
8,17,9,county_district_campus_number
17,32,15,district_name
32,47,15,campus_name
47,62,15,last_name
62,72,10,first_name
72,73,1,middle_initial
73,82,9,student_id
82,83,1,sex_code
83,91,8,date_of_birth
91,92,1,blank_16
92,93,1,hispanic_latino_code
93,94,1,american_indian_alaska_native_
94,95,1,asian_code
95,96,1,black_african_american_code
96,97,1,native_hawaiian_pacific_islander_
97,98,1,white_code
98,99,1,ethnicity/race_reporting_category
99,100,1,economic_disadvantage_code
100,101,1,title_i_part_a_indicator_code
101,102,1,migrant_indicator_code
102,106,4,blank_48
106,107,1,emergent_bilingual_indicator_code
107,108,1,bilingual_indicator_code
108,109,1,esl_indicator_code
109,110,1,blank_52
110,111,1,special_ed_indicator_code
111,116,5,blank_54
116,117,1,gifted_talented_indicator_code
117,118,1,at_risk_indicator_code
118,122,4,blank_57
122,131,9,local_student_id
131,140,9,blank_60
140,142,2,enrolled_grade_61
142,143,1,blank_63
143,152,9,fall_2021_tsds_peims_county_district_campus_number
152,154,2,blank_65
154,156,2,fall_2021_tsds_peims_studentattribution_code
156,162,6,student_portal_unique_accesscode
162,163,1,migrant_student_in_texas_migrantinterstate_program_(tmip)
163,164,1,fall_2021_tsds_peims_military_connected_student_code
164,165,1,fall_2021_tsds_peims_foster_careindicator
165,185,20,blank_71
185,186,1,fall_2021_tsds_peims_dyslexia_indicator_code
186,189,3,blank_73
189,190,1,new_to_texas
190,200,10,tx_unique_student_id
200,204,4,local_use_reading
204,208,4,local_use_mathematics
208,212,4,blank_79
212,216,4,local_use_social_studies
216,220,4,local_use_science
220,221,1,agency_use_a_reading
221,222,1,agency_use_b_reading
222,223,1,agency_use_c_reading
223,224,1,agency_use_d_reading
224,225,1,agency_use_e_reading
225,226,1,agency_use_a_mathematics
226,227,1,agency_use_b_mathematics
227,228,1,agency_use_c_mathematics
228,229,1,agency_use_d_mathematics
229,230,1,agency_use_e_mathematics
230,235,5,blank_93
235,236,1,agency_use_a_social_studies
236,237,1,agency_use_b_social_studies
237,238,1,agency_use_c_social_studies
238,239,1,agency_use_d_social_studies
239,240,1,agency_use_e_social_studies
240,241,1,agency_use_a_science
241,242,1,agency_use_b_science
242,243,1,agency_use_c_science
243,244,1,agency_use_d_science
244,245,1,agency_use_e_science
245,246,1,eoc/above_grade_reading
246,247,1,eoc/above_grade_mathematics
247,248,1,eoc/above_grade_social_studies
248,249,1,eoc/above_grade_science
249,251,2,blank_108
251,252,1,designated_supports_reading
252,253,1,braille_reading
253,254,1,large_print_reading
254,255,1,oral_administration_reading
255,256,1,extra_day_reading
256,258,2,blank_115
258,259,1,text_to_speech_reading
259,261,2,blank_118
261,262,1,content_and_language_supports__reading
262,263,1,asl_signed_videos_reading
263,271,1,blank_121
271,272,1,designated_supports__mathematics
272,273,1,braille_mathematics
273,274,1,large_print_mathematics
274,275,1,oral_administration_mathematics
275,276,1,extra_day_mathematics
276,277,1,basic_calculator_mathematics
277,278,1,blank_128
278,279,1,text_to_speech_mathematics
279,281,2,blank_130
281,282,1,content_and_language_supports__mathematics
282,283,1,asl_signed_videos_mathematics
283,285,2,blank_133
285,286,1,auto_text_to_speech_reading
286,287,1,auto_text_to_speech__mathematics
287,288,1,auto_text_to_speech_socialstudies
288,289,1,auto_text_to_speech_science
289,311,22,blank_138
311,312,1,designated_supports_socialstudies
312,313,1,braille__social_studies
313,314,1,large_print_social_studies
314,315,1,oral_administration_social_studies
315,316,1,extra_day_social_studies
316,318,2,blank_144
318,319,1,text_to_speech_social_studies
319,321,2,blank_146
321,322,1,content_and_language_supports__social_studies
322,323,1,asl_signed_videos_social_studies
323,331,8,blank_150
331,332,1,designated_supports_science
332,333,1,braille_science
333,334,1,large_print_science
334,335,1,oral_administration_science
335,336,1,extra_day_science
336,337,1,basic_calculator_science
337,338,1,blank_157
338,339,1,text_to_speech_science
339,341,2,blank_159
341,342,1,content_and_language_supports__science
342,343,1,asl_signed_videos_science
343,350,7,blank_162
350,351,1,score_code_reading
351,352,1,score_code_mathematics
352,353,1,blank_166
353,354,1,score_code_social_studies
354,355,1,score_code_science
355,356,1,score_code_default_reading
356,357,1,score_code_default_mathematics
357,358,1,blank_172
358,359,1,score_code_default_social_studies
359,360,1,score_code_default_science
360,400,40,blank_175
400,402,2,reading_reporting_category_1_scores
402,404,2,reading_reporting_category_2_scores
404,406,2,reading_reporting_category_3_scores
406,408,2,reading_raw_score
408,412,4,reading_scale_score
412,413,1,reading_language_version
413,414,1,reading_test_version
414,415,1,test_administration_mode__reading
415,422,7,blank_185
422,423,1,meets_grade_level_in_reading
423,424,1,approaches_grade_level_in_reading
424,425,1,masters_grade_level_in_reading
425,426,1,staar_progress_measure_reading
426,428,2,blank_191
428,429,1,on_track_to_meet_grade_level__reading
429,433,4,previous_year_administration_date__reading
433,437,4,previous_year_scale_score__reading
437,438,1,previous_year_language_version__reading
438,439,1,blank_197
439,440,1,previous_year_score_code__reading
440,441,1,blank_199
441,442,1,previous_year_masters_grade_level__reading
442,444,2,previous_year_tested_grade__reading
444,445,1,el_performance_measure_reading
445,450,5,blank_204
450,494,44,item_reporting_category_numbers__reading
494,502,8,blank_207
502,546,44,item_student_responses_reading
546,554,8,blank_209
554,598,44,item_correct_responses_reading
598,606,8,blank_213
606,611,5,lexile_measure_214
611,614,3,percentile_215
614,750,136,blank_216
750,752,2,mathematics_reporting_category_1_scores
752,754,2,mathematics_reporting_category_2_scores
754,756,2,mathematics_reporting_category_3_scores
756,758,2,mathematics_reporting_category_4_scores
758,760,2,blank_222
760,762,2,mathematics_raw_score
762,766,4,mathematics_scale_score
766,767,1,mathematics_language_version
767,768,1,mathematics_test_version
768,769,1,test_administration_mode__mathematics
769,776,7,blank_228
776,777,1,meets_grade_level_in_mathematics
777,778,1,approaches_grade_level_in_mathematics
778,779,1,masters_grade_level_in_mathematics
779,780,1,staar_progress_measure__mathematics
780,781,1,blank_234
781,782,1,on_track_to_meet_grade_level__mathematics
782,786,4,previous_year_administration_date__mathematics
786,790,4,previous_year_scale_score__mathematics
790,791,1,previous_year_language_version__mathematics
791,792,1,blank_240
792,793,1,previous_year_score_code__mathematics
793,794,1,blank_242
794,795,1,previous_year_masters_grade_level__mathematics
795,797,2,previous_year_tested_grade__mathematics
797,798,1,el_performance_measure__mathematics_246
798,800,2,blank_247
800,842,42,item_reporting_category_numbers__mathematics
