start_index,end_index,field_length,field_name
0,4,4,administration_date
4,6,2,grade_level_tested
6,8,2,esc_region_number
8,17,9,county_district_campus_number
17,32,15,district_name
32,47,15,campus_name
47,62,15,last_name
62,72,10,first_name
72,73,1,middle_initial
73,82,9,peims_id
82,83,1,sex_code
83,91,8,date_of_birth
91,92,1,blank_14
92,93,1,hispanic_latino_code
93,94,1,american_indian_alaska_native_code
94,95,1,asian_code
95,96,1,black_african_american_code
96,97,1,native_hawaiian_pacific_islander_code
97,98,1,white_code
98,99,1,ethnicity/race_reporting_category
99,100,1,economic_disadvantage_code
100,101,1,title_i_part_a_indicator_code
101,102,1,migrant_indicator_code
102,106,4,blank_27
106,107,1,emergent_bilingual_indicator_code
107,108,1,bilingual_indicator_code
108,109,1,esl_indicator_code
109,110,1,fall_2024_tsds_peims_homeless_status_code
110,111,1,special_ed_indicator_code
111,112,1,section_504_indicator_code
112,116,4,blank_34
116,117,1,gifted_talented_indicator_code
117,118,1,at_risk_indicator_code
118,122,4,blank_37
122,131,9,local_student_id
131,140,9,blank_41
140,142,2,enrolled_grade_42
142,143,1,blank_43
143,152,9,fall_2024_tsds_peims_county_district_campus_number
152,154,2,fall_2024_tsds_peims_student_language_code
154,156,2,fall_2024_tsds_peims_student_attribution_code
156,162,6,family_portal_unique_access_code
162,163,1,migrant_student_in_texas_migrant_interstate_program_(tmip)
163,164,1,fall_2024_tsds_peims_military_connected_student_code
164,165,1,fall_2024_tsds_peims_foster_care_indicator_code
165,185,20,blank_52
185,186,1,fall_2024_tsds_peims_dyslexia_indicator_code
186,189,3,blank_54
189,190,1,new_to_texas
190,200,10,tx_unique_student_id
200,204,4,local_use_reading_language_arts
204,208,4,local_use_mathematics
208,212,4,blank_60
212,216,4,local_use_social_studies
216,220,4,local_use_science
220,221,1,agency_use_code_a_reading_language_arts
221,222,1,agency_use_code_b_reading_language_arts
222,223,1,agency_use_code_c_reading_language_arts
223,224,1,agency_use_code_d_reading_language_arts
224,225,1,agency_use_code_e_reading_language_arts
225,226,1,"agency_use_code_a_mathematics___0_9,_blank"
226,227,1,"agency_use_code_b_mathematics___0_9,_blank"
227,228,1,"agency_use_code_c_mathematics___0_9,_blank"
228,229,1,"agency_use_code_d_mathematics___0_9,_blank"
229,230,1,"agency_use_code_e_mathematics___0_9,_blank"
230,235,5,blank_74
235,236,1,"agency_use_code_a_social_studies__0_9,_blank"
236,237,1,"agency_use_code_b_social_studies__0_9,_blank"
237,238,1,"agency_use_code_c_social_studies__0_9,_blank"
238,239,1,"agency_use_code_d_social_studies__0_9,_blank"
239,240,1,"agency_use_code_e_social_studies__0_9,_blank"
240,241,1,agency_use_code_a_science
241,242,1,agency_use_code_b_science
242,243,1,agency_use_code_c_science
243,244,1,agency_use_code_d_science
244,245,1,agency_use_code_e_science
245,246,1,eoc/above_grade_reading_language_arts
246,247,1,eoc/above_grade_mathematics
247,248,1,eoc/above_grade_social_studies
248,249,1,eoc/above_grade_science
249,251,2,blank_91
251,252,1,speech_to_text_reading_language_arts
252,253,1,braille/refreshable_braille_device_and_screen_reader_reading_language_arts
253,254,1,large_print_reading_language_arts_1_=_yes
254,255,1,non_embedded_designated_supports_reading_language_arts
255,256,1,extra_day_reading_language_arts
256,257,1,word_prediction_reading_language_arts
257,258,1,blank_99
258,259,1,text_to_speech_reading_language_arts
259,260,1,blank_101
260,261,1,spell_check_reading_language_arts_1_=_yes
261,262,1,content_and_language_supports__reading_language_arts
262,263,1,asl_signed_videos_reading_language_arts
263,272,9,blank_105
272,273,1,braille/refreshable_braille_device_and_screen_reader_mathematics
273,274,1,large_print_mathematics
274,275,1,non_embedded_designated_supports_mathematics
275,276,1,extra_day_mathematics
276,277,1,basic_calculator_mathematics
277,278,1,blank_111
278,279,1,text_to_speech_mathematics
279,281,2,blank_114
281,282,1,content_and_language_supports__mathematics
282,283,1,asl_signed_videos_mathematics
283,285,2,blank_117
285,286,1,auto_text_to_speech_reading_language_arts
286,287,1,auto_text_to_speech_mathematics__1_=_yes
287,288,1,auto_text_to_speech_social_studies
288,289,1,auto_text_to_speech_science
289,311,22,blank_122
311,312,1,speech_to_text_social_studies
312,313,1,braille/refreshable_braille_device_and_screen_reader_social_studies
313,314,1,large_print_social_studies
314,315,1,non_embedded_designated_supports_social_studies
315,316,1,extra_day_social_studies
316,317,1,word_prediction_social_studies
317,318,1,blank_129
318,319,1,text_to_speech_social_studies
319,320,1,blank_131
320,321,1,spell_check_social_studies
321,322,1,content_and_language_supports__social_studies
322,323,1,asl_signed_videos_social_studies
323,331,8,blank_135
331,332,1,speech_to_text_science
332,333,1,braille/refreshable_braille_device_and_screen_reader_science
333,334,1,large_print_science
334,335,1,non_embedded_designated_supports_science
335,336,1,extra_day_science
336,337,1,basic_calculator_science
337,338,1,word_prediction_science
338,339,1,text_to_speech_science
339,340,1,blank_145
340,341,1,spell_check_science
341,342,1,content_and_language_supports_science
342,343,1,asl_signed_videos_science
343,350,7,blank_149
350,351,1,score_code_reading_language_arts_a_=_absent
351,352,1,score_code_mathematics
352,353,1,blank_153
353,354,1,score_code_social_studies
354,355,1,score_code_science
355,400,45,blank_156
400,402,2,reading_language_arts_reporting_category_1_scores
402,404,2,reading_language_arts_reporting_category_2_scores
404,406,2,performance_level_indicator_reading_language_arts
406,408,2,reading_language_arts_raw_score
408,412,4,reading_language_arts_scale_score___0000_9999
412,413,1,reading_language_arts_test_language_version
413,414,1,reading_language_arts_test_version
414,415,1,test_administration_mode_reading_language_arts
415,422,7,blank_167
422,423,1,meets_grade_level_in_reading_language_arts
423,424,1,approaches_grade_level_in_reading_language_arts
424,425,1,masters_grade_level_in_reading_language_arts
425,426,1,staar_progress_measure_reading_language_arts
426,428,2,blank_173
428,429,1,on_track_to_meet_grade_level_reading_language_arts
429,444,15,blank_175
444,445,1,el_performance_measure_reading_language_arts
445,450,5,blank_178
450,495,45,item_reporting_category_numbers_reading_language_arts
495,502,7,blank_181
502,547,45,item_student_responses_reading_language_arts
547,554,7,blank_184
554,599,45,item_correct_responses_reading_language_arts
599,606,7,blank_186
606,611,5,lexile_measure_187
611,614,3,percentile_reading_language_arts__the_student_scored_the_same_as_or_better_than_this_percentage_of_all
614,616,2,extended_constructed_response_score
616,617,1,extended_constructed_response_trait_score:_ideas
617,618,1,extended_constructed_response_trait_score:_conventions
618,619,1,extended_constructed_response_condition_code
619,750,131,blank_194
750,752,2,mathematics_reporting_category_1_scores
