assessment_identifier,school_year,grade_level_code,subject,course_abbrev,administration_window,administration_window_label,administration_window_start_date,administration_window_end_date
"staar_summative","2023",03,"Mathematics",,"0523","May 2023","2023-05-02","2023-05-12"
"staar_summative","2023",04,"Mathematics",,"0523","May 2023","2023-05-02","2023-05-12"
"staar_summative","2023",05,"Mathematics",,"0523","May 2023","2023-05-02","2023-05-12"
"staar_summative","2023",06,"Mathematics",,"0523","May 2023","2023-05-02","2023-05-12"
"staar_summative","2023",07,"Mathematics",,"0523","May 2023","2023-05-02","2023-05-12"
"staar_summative","2023",08,"Mathematics",,"0523","May 2023","2023-05-02","2023-05-12"
"staar_summative","2023",03,"Reading",,"0523","May 2023","2023-04-18","2023-04-28"
"staar_summative","2023",04,"Reading",,"0523","May 2023","2023-04-18","2023-04-28"
"staar_summative","2023",05,"Reading",,"0523","May 2023","2023-04-18","2023-04-28"
"staar_summative","2023",06,"Reading",,"0523","May 2023","2023-04-18","2023-04-28"
"staar_summative","2023",07,"Reading",,"0523","May 2023","2023-04-18","2023-04-28"
"staar_summative","2023",08,"Reading",,"0523","May 2023","2023-04-18","2023-04-28"
"staar_summative","2023",05,"Science",,"0523","May 2023","2023-04-25","2023-05-05"
"staar_summative","2023",08,"Science",,"0523","May 2023","2023-04-25","2023-05-05"
"staar_summative","2023",08,"Social Studies",,"0523","May 2023","2023-04-25","2023-05-05"
"staar_summative_alt","2023",03,"Mathematics",,"0423","Spring 2023","2023-03-27","2023-04-28"
"staar_summative_alt","2023",04,"Mathematics",,"0423","Spring 2023","2023-03-27","2023-04-28"
"staar_summative_alt","2023",05,"Mathematics",,"0423","Spring 2023","2023-03-27","2023-04-28"
"staar_summative_alt","2023",06,"Mathematics",,"0423","Spring 2023","2023-03-27","2023-04-28"
"staar_summative_alt","2023",07,"Mathematics",,"0423","Spring 2023","2023-03-27","2023-04-28"
"staar_summative_alt","2023",08,"Mathematics",,"0423","Spring 2023","2023-03-27","2023-04-28"
"staar_summative_alt","2023",03,"Reading",,"0423","Spring 2023","2023-03-27","2023-04-28"
"staar_summative_alt","2023",04,"Reading",,"0423","Spring 2023","2023-03-27","2023-04-28"
"staar_summative_alt","2023",05,"Reading",,"0423","Spring 2023","2023-03-27","2023-04-28"
"staar_summative_alt","2023",06,"Reading",,"0423","Spring 2023","2023-03-27","2023-04-28"
"staar_summative_alt","2023",07,"Reading",,"0423","Spring 2023","2023-03-27","2023-04-28"
"staar_summative_alt","2023",08,"Reading",,"0423","Spring 2023","2023-03-27","2023-04-28"
"staar_summative_alt","2023",05,"Science",,"0423","Spring 2023","2023-03-27","2023-04-28"
"staar_summative_alt","2023",08,"Science",,"0423","Spring 2023","2023-03-27","2023-04-28"
"staar_summative_alt","2023",08,"Social Studies",,"0423","Spring 2023","2023-03-27","2023-04-28"
"staar_summative_eoc","2023",,,"ALG1","1523","Spring 2023","2023-05-02","2023-05-12"
"staar_summative_eoc","2023",,,"ALG1","1623","Summer 2023","2023-06-20","2023-06-30"
"staar_summative_eoc","2023",,,"ENG1","1523","Spring 2023","2023-04-18","2023-04-28"
"staar_summative_eoc","2023",,,"ENG1","1623","Summer 2023","2023-06-20","2023-06-30"
"staar_summative_eoc","2023",,,"ENG2","1523","Spring 2023","2023-04-18","2023-04-28"
"staar_summative_eoc","2023",,,"ENG2","1623","Summer 2023","2023-06-20","2023-06-30"
"staar_summative_eoc","2023",,,"BIO","1523","Spring 2023","2023-04-25","2023-05-05"
"staar_summative_eoc","2023",,,"BIO","1623","Summer 2023","2023-06-20","2023-06-30"
"staar_summative_eoc","2023",,,"USH","1523","Spring 2023","2023-04-25","2023-05-05"
"staar_summative_eoc","2023",,,"USH","1623","Summer 2023","2023-06-20","2023-06-30"
"staar_summative_eoc_alt","2023",,,"ALG1","1523","Spring 2023","2023-03-27","2023-04-28"
"staar_summative_eoc_alt","2023",,,"ENG1","1523","Spring 2023","2023-03-27","2023-04-28"
"staar_summative_eoc_alt","2023",,,"ENG2","1523","Spring 2023","2023-03-27","2023-04-28"
"staar_summative_eoc_alt","2023",,,"BIO","1523","Spring 2023","2023-03-27","2023-04-28"
"staar_summative_eoc_alt","2023",,,"USH","1523","Spring 2023","2023-03-27","2023-04-28"
