codeValue,description,namespace,shortDescription
Overall Performance Level,Overall Performance Level,uri://tea.texas.gov/AssessmentReportingMethodDescriptor,Overall Performance Level
Test Name,Test Name,uri://tea.texas.gov/AssessmentReportingMethodDescriptor,Test Name
Subject,Subject,uri://tea.texas.gov/AssessmentReportingMethodDescriptor,Subject
Course,Course,uri://tea.texas.gov/AssessmentReportingMethodDescriptor,Course
Total Scale Score,Total Scale Score,uri://tea.texas.gov/AssessmentReportingMethodDescriptor,Total Scale Score
Probability Of Achieving Approaches Grade Level,Probability Of Achieving Approaches Grade Level,uri://tea.texas.gov/AssessmentReportingMethodDescriptor,Probability Of Achieving Approaches Grade Level
Probability Of Achieving Meets Grade Level,Probability Of Achieving Meets Grade Level,uri://tea.texas.gov/AssessmentReportingMethodDescriptor,Probability Of Achieving Meets Grade Level
Probability Of Achieving Masters Grade Level,Probability Of Achieving Masters Grade Level,uri://tea.texas.gov/AssessmentReportingMethodDescriptor,Probability Of Achieving Masters Grade Level
Overall Raw Score,Overall Raw Score,uri://tea.texas.gov/AssessmentReportingMethodDescriptor,Overall Raw Score
Raw Score,Raw Score,uri://tea.texas.gov/AssessmentReportingMethodDescriptor,Raw Score
Administration Window,Administration Window,uri://tea.texas.gov/AssessmentReportingMethodDescriptor,Administration Window
