assessmentIdentifier,assessmentTitle,namespace,assessmentCategoryDescriptor,academicSubjectDescriptor,is_alt_assessment
staar_summative_Reading,STAAR Summative Grades 3-8 Reading,uri://tea.texas.gov/student-assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Other,uri://ed-fi.org/AcademicSubjectDescriptor#Reading,False
staar_summative_Mathematics,STAAR Summative Grades 3-8 Mathematics,uri://tea.texas.gov/student-assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Other,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,False
staar_summative_Science,STAAR Summative Grades 3-8 Science,uri://tea.texas.gov/student-assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Other,uri://ed-fi.org/AcademicSubjectDescriptor#Science,False
staar_summative_Social_Studies,STAAR Summative Grades 3-8 Social Studies,uri://tea.texas.gov/student-assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Other,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies,False
staar_summative_Writing,STAAR Summative Grades 3-8 Writing,uri://tea.texas.gov/student-assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Other,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,False
staar_summative_alt_Reading,STAAR Summative Alternate 2 Grades 3-8 Reading,uri://tea.texas.gov/student-assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Other,uri://ed-fi.org/AcademicSubjectDescriptor#Reading,True
staar_summative_alt_Mathematics,STAAR Summative Alternate 2 Grades 3-8 Mathematics,uri://tea.texas.gov/student-assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Other,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,True
staar_summative_alt_Science,STAAR Summative Alternate 2 Grades 3-8 Science,uri://tea.texas.gov/student-assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Other,uri://ed-fi.org/AcademicSubjectDescriptor#Science,True
staar_summative_alt_Social_Studies,STAAR Summative Alternate 2 Grades 3-8 Social Studies,uri://tea.texas.gov/student-assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Other,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies,True
staar_summative_alt_Writing,STAAR Summative Alternate 2 Grades 3-8 Writing,uri://tea.texas.gov/student-assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Other,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,True
staar_summative_eoc_Mathematics,STAAR Summative End of Course Mathematics,uri://tea.texas.gov/student-assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Other,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,False
staar_summative_eoc_English_Language_Arts,STAAR Summative End of Course English Language Arts,uri://tea.texas.gov/student-assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Other,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,False
staar_summative_eoc_Science,STAAR Summative End of Course Science,uri://tea.texas.gov/student-assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Other,uri://ed-fi.org/AcademicSubjectDescriptor#Science,False
staar_summative_eoc_Social_Studies,STAAR Summative End of Course Social Studies,uri://tea.texas.gov/student-assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Other,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies,False
staar_summative_eoc_alt_Mathematics,STAAR Summative Alternate 2 End of Course Mathematics,uri://tea.texas.gov/student-assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Other,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,True
staar_summative_eoc_alt_English_Language_Arts,STAAR Summative Alternate 2 End of Course English Language Arts,uri://tea.texas.gov/student-assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Other,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,True
staar_summative_eoc_alt_Science,STAAR Summative Alternate 2 End of Course Science,uri://tea.texas.gov/student-assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Other,uri://ed-fi.org/AcademicSubjectDescriptor#Science,True
staar_summative_eoc_alt_Social_Studies,STAAR Summative Alternate 2 End of Course Social Studies,uri://tea.texas.gov/student-assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Other,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies,True
