assessmentIdentifier,identificationCode
staar_summative,Reporting Category 1
staar_summative,Reporting Category 2
staar_summative,Reporting Category 3
staar_summative,Reporting Category 4
staar_summative,Reporting Category 5
staar_summative,Reporting Category 6
staar_summative_alt,Reporting Category 1
staar_summative_alt,Reporting Category 2
staar_summative_alt,Reporting Category 3
staar_summative_alt,Reporting Category 4
staar_summative_alt,Reporting Category 5
staar_summative_alt,Reporting Category 6
staar_summative_eoc,Reporting Category 1
staar_summative_eoc,Reporting Category 2
staar_summative_eoc,Reporting Category 3
staar_summative_eoc,Reporting Category 4
staar_summative_eoc,Reporting Category 5
staar_summative_eoc,Reporting Category 6
staar_summative_eoc_alt,Reporting Category 1
staar_summative_eoc_alt,Reporting Category 2
staar_summative_eoc_alt,Reporting Category 3
staar_summative_eoc_alt,Reporting Category 4
staar_summative_eoc_alt,Reporting Category 5
staar_summative_eoc_alt,Reporting Category 6
