Grade,edfi_descriptor
02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
03,uri://ed-fi.org/GradeLevelDescripto#Third grade
04,uri://ed-fi.org/GradeLevelDescripto#Fourth grade
05,uri://ed-fi.org/GradeLevelDescripto#Fifth grade
06,uri://ed-fi.org/GradeLevelDescripto#Sixth grade
07,uri://ed-fi.org/GradeLevelDescripto#Seventh grade
08,uri://ed-fi.org/GradeLevelDescripto#Eighth grade
09,uri://ed-fi.org/GradeLevelDescripto#Ninth grade
10,uri://ed-fi.org/GradeLevelDescripto#Tenth grade
11,uri://ed-fi.org/GradeLevelDescripto#Eleventh grade
12,uri://ed-fi.org/GradeLevelDescripto#Twelfth grade
2,uri://ed-fi.org/GradeLevelDescripto#Second grade
3,uri://ed-fi.org/GradeLevelDescripto#Third grade
4,uri://ed-fi.org/GradeLevelDescripto#Fourth grade
5,uri://ed-fi.org/GradeLevelDescripto#Fifth grade
6,uri://ed-fi.org/GradeLevelDescripto#Sixth grade
7,uri://ed-fi.org/GradeLevelDescripto#Seventh grade
8,uri://ed-fi.org/GradeLevelDescripto#Eighth grade
9,uri://ed-fi.org/GradeLevelDescripto#Ninth grade
