STAMPLanguage,edfi_descriptor
ASL,uri://ed-fi.org/LanguageDescriptor#sgn
Arabic,uri://ed-fi.org/LanguageDescriptor#ara
Chinese Simplified,uri://ed-fi.org/LanguageDescriptor#ace
Chinese Traditional,uri://ed-fi.org/LanguageDescriptor#chi
French,uri://ed-fi.org/LanguageDescriptor#fre
English,uri://ed-fi.org/LanguageDescriptor#eng
German,uri://ed-fi.org/LanguageDescriptor#ger
Hebrew,uri://ed-fi.org/LanguageDescriptor#heb
Hindi,uri://ed-fi.org/LanguageDescriptor#hin
Italian,uri://ed-fi.org/LanguageDescriptor#ita
Japanese,uri://ed-fi.org/LanguageDescriptor#jpn
Korean,uri://ed-fi.org/LanguageDescriptor#kor
Latin,uri://ed-fi.org/LanguageDescriptor#lat
Mandarin Simplified,uri://ed-fi.org/LanguageDescriptor#ace
Mandarin Traditional,uri://ed-fi.org/LanguageDescriptor#chi
Polish,uri://ed-fi.org/LanguageDescriptor#pol
Portuguese,uri://ed-fi.org/LanguageDescriptor#por
Russian,uri://ed-fi.org/LanguageDescriptor#rus
Spanish,uri://ed-fi.org/LanguageDescriptor#spa
Spanish Monolingual,uri://ed-fi.org/LanguageDescriptor#spa
Swahili,uri://ed-fi.org/LanguageDescriptor#swa
Yoruba,uri://ed-fi.org/LanguageDescriptor#yor
Amharic,uri://ed-fi.org/LanguageDescriptor#amh
Armenian,uri://ed-fi.org/LanguageDescriptor#arm
Bengali,uri://ed-fi.org/LanguageDescriptor#ben
Cabo Verdean,uri://ed-fi.org/LanguageDescriptor#ach
Chaldean,uri://ed-fi.org/LanguageDescriptor#akk
Chin (Hakha),uri://ed-fi.org/LanguageDescriptor#bur
Chuukese,uri://ed-fi.org/LanguageDescriptor#chk
Czech,uri://ed-fi.org/LanguageDescriptor#cze
Filipino(Tagalog),uri://ed-fi.org/LanguageDescriptor#tgl
Filipino,uri://ed-fi.org/LanguageDescriptor#fil
Greek,uri://ed-fi.org/LanguageDescriptor#gre
Haitian-Creole,uri://ed-fi.org/LanguageDescriptor#hat
Hawaiian,uri://ed-fi.org/LanguageDescriptor#haw
Hmong,uri://ed-fi.org/LanguageDescriptor#hmn
Ilocano,uri://ed-fi.org/LanguageDescriptor#ilo
Kannada,uri://ed-fi.org/LanguageDescriptor#kan
Khmer,uri://ed-fi.org/LanguageDescriptor#khm
Marshallese,uri://ed-fi.org/LanguageDescriptor#mah
Marathi,uri://ed-fi.org/LanguageDescriptor#mar
Nepali,uri://ed-fi.org/LanguageDescriptor#nep
Pashto,uri://ed-fi.org/LanguageDescriptor#pus
Persian-Farsi,uri://ed-fi.org/LanguageDescriptor#per
Pohnpeian,uri://ed-fi.org/LanguageDescriptor#pon
Punjabi,uri://ed-fi.org/LanguageDescriptor#pan
Romanian,uri://ed-fi.org/LanguageDescriptor#rum
Samoan,uri://ed-fi.org/LanguageDescriptor#smo
Somali Maay Maay,uri://ed-fi.org/LanguageDescriptor#som
Somali Maxaa,uri://ed-fi.org/LanguageDescriptor#mas
Tamil,uri://ed-fi.org/LanguageDescriptor#tam
Telugu,uri://ed-fi.org/LanguageDescriptor#tel
Thai,uri://ed-fi.org/LanguageDescriptor#tha
Tigrinya,uri://ed-fi.org/LanguageDescriptor#tir
Turkish,uri://ed-fi.org/LanguageDescriptor#tur
Ukrainian,uri://ed-fi.org/LanguageDescriptor#ukr
Urdu,uri://ed-fi.org/LanguageDescriptor#urd
Vietnamese,uri://ed-fi.org/LanguageDescriptor#vie
Yup'ik,uri://ed-fi.org/LanguageDescriptor#ypk
Zomi,uri://ed-fi.org/LanguageDescriptor#ben
