Assessment,STAMPLanguage,LanguageCode,namespace,shortDescription,description
STAMP 4S,American Sign Language,sgn,uri://ed-fi.org/LanguageDescriptor,Sign Languages,Sign Languages
STAMP 4S,Arabic,ara,uri://ed-fi.org/LanguageDescriptor,Arabic,Arabic
STAMP 4S,Chinese Simplified,ace,uri://ed-fi.org/LanguageDescriptor,Achinese,Achinese
STAMP 4S,Chinese Traditional,chi,uri://ed-fi.org/LanguageDescriptor,Chinese,Chinese
STAMP 4S,French,fre,uri://ed-fi.org/LanguageDescriptor,French,French
STAMP 4S,German,ger,uri://ed-fi.org/LanguageDescriptor,German,German
STAMP 4S,Hebrew,heb,uri://ed-fi.org/LanguageDescriptor,Hebrew,Hebrew
STAMP 4S,Hindi,hin,uri://ed-fi.org/LanguageDescriptor,Hindi,Hindi
STAMP 4S,Italian,ita,uri://ed-fi.org/LanguageDescriptor,Italian,Italian
STAMP 4S,Japanese,jpn,uri://ed-fi.org/LanguageDescriptor,Japanese,Japanese
STAMP 4S,Korean,kor,uri://ed-fi.org/LanguageDescriptor,Korean,Korean
STAMP 4S,Latin,lat,uri://ed-fi.org/LanguageDescriptor,Latin,Latin
STAMP 4S,Mandarin Simplified,ace,uri://ed-fi.org/LanguageDescriptor,Achinese,Achinese
STAMP 4S,Mandarin Traditional,chi,uri://ed-fi.org/LanguageDescriptor,Chinese,Chinese
STAMP 4S,Polish,pol,uri://ed-fi.org/LanguageDescriptor,Polish,Polish
STAMP 4S,Portuguese,por,uri://ed-fi.org/LanguageDescriptor,Portuguese,Portuguese
STAMP 4S,Russian,rus,uri://ed-fi.org/LanguageDescriptor,Russian,Russian
STAMP 4S,Spanish,spa,uri://ed-fi.org/LanguageDescriptor,Spanish,Spanish
STAMP 4S,Spanish Monolingual,und,uri://ed-fi.org/LanguageDescriptor,Undetermined,Undetermined
STAMP 4S,Swahili (3 skill),swa,uri://ed-fi.org/LanguageDescriptor,Swahili,Swahili
STAMP 4S,Yoruba (3 skill),yor,uri://ed-fi.org/LanguageDescriptor,Yoruba,Yoruba
STAMP WS,Amharic,amh,uri://ed-fi.org/LanguageDescriptor,Amharic,Amharic
STAMP WS,Armenian,arm,uri://ed-fi.org/LanguageDescriptor,Armenian,Armenian
STAMP WS,Chin (Hakha),bur,uri://ed-fi.org/LanguageDescriptor,Burmese,Burmese
STAMP WS,Chuukese,chk,uri://ed-fi.org/LanguageDescriptor,Chuukese,Chuukese
STAMP WS,Czech,cze,uri://ed-fi.org/LanguageDescriptor,Czech,Czech
STAMP WS,Filipino(Tagalog),tgl,uri://ed-fi.org/LanguageDescriptor,Tagalog,Tagalog
STAMP WS,Haitian-Creole,hat,uri://ed-fi.org/LanguageDescriptor,Haitian,Haitian
STAMP WS,Hawaiian,haw,uri://ed-fi.org/LanguageDescriptor,Hawaiian,Hawaiian
STAMP WS,Hmong,hmn,uri://ed-fi.org/LanguageDescriptor,Hmong,Hmong
STAMP WS,Ilocano,ilo,uri://ed-fi.org/LanguageDescriptor,Iloko,Iloko
STAMP WS,Kannada,kan,uri://ed-fi.org/LanguageDescriptor,Kannada,Kannada
STAMP WS,Marshallese,mah,uri://ed-fi.org/LanguageDescriptor,Marshallese,Marshallese
STAMP WS,Marathi,mar,uri://ed-fi.org/LanguageDescriptor,Marathi,Marathi
STAMP WS,Samoan,smo,uri://ed-fi.org/LanguageDescriptor,Samoan,Samoan
STAMP WS,Somali Maay Maay,som,uri://ed-fi.org/LanguageDescriptor,Somali,Somali
STAMP WS,Somali Maxaa,mas,uri://ed-fi.org/LanguageDescriptor,Masai,Masai
STAMP WS,Tamil,tam,uri://ed-fi.org/LanguageDescriptor,Tamil,Tamil
STAMP WS,Telugu,tel,uri://ed-fi.org/LanguageDescriptor,Telugu,Telugu
STAMP WS,Turkish,tur,uri://ed-fi.org/LanguageDescriptor,Turkish,Turkish
STAMP WS,Urdu,urd,uri://ed-fi.org/LanguageDescriptor,Urdu,Urdu
STAMP WS,Vietnamese,vie,uri://ed-fi.org/LanguageDescriptor,Vietnamese,Vietnamese
STAMP WS,Yup'ik,ypk,uri://ed-fi.org/LanguageDescriptor,Yupik languages,Yupik languages
STAMP WS,Zomi,ben,uri://ed-fi.org/LanguageDescriptor,Bengali,Bengali
