codeValue,namespace,shortDescription,description,reportingMethod
1,uri://avantassessment.com/PerformanceLevelDescriptor,Novice-Low,Novice-Low,uri://avantassessment.com/AssessmentReportingMethodDescriptor
2,uri://avantassessment.com/PerformanceLevelDescriptor,Novice-Mid,Novice-Mid,uri://avantassessment.com/AssessmentReportingMethodDescriptor
3,uri://avantassessment.com/PerformanceLevelDescriptor,Novice-High,Novice-High,uri://avantassessment.com/AssessmentReportingMethodDescriptor
4,uri://avantassessment.com/PerformanceLevelDescriptor,Intermediate-Low,Intermediate-Low,uri://avantassessment.com/AssessmentReportingMethodDescriptor
5,uri://avantassessment.com/PerformanceLevelDescriptor,Intermediate-Mid,Intermediate-Mid,uri://avantassessment.com/AssessmentReportingMethodDescriptor
6,uri://avantassessment.com/PerformanceLevelDescriptor,Intermediate-High,Intermediate-High,uri://avantassessment.com/AssessmentReportingMethodDescriptor
7,uri://avantassessment.com/PerformanceLevelDescriptor,Advanced-Low,Advanced-Low,uri://avantassessment.com/AssessmentReportingMethodDescriptor
8,uri://avantassessment.com/PerformanceLevelDescriptor,Advanced-Mid,"Advanced-Mid if Reading and Listening, Advanced-Mid/High if Writing and Speaking.",uri://avantassessment.com/AssessmentReportingMethodDescriptor
9,uri://avantassessment.com/PerformanceLevelDescriptor,Advanced-High,Advanced-High,uri://avantassessment.com/AssessmentReportingMethodDescriptor
NS,uri://avantassessment.com/PerformanceLevelDescriptor,Section Not Started,"The test taker has not started this section of the test.",uri://avantassessment.com/AssessmentReportingMethodDescriptor
IP,uri://avantassessment.com/PerformanceLevelDescriptor,Section In Progress,"The test taker has started, but not completed, this section of the test.",uri://avantassessment.com/AssessmentReportingMethodDescriptor
SP,uri://avantassessment.com/PerformanceLevelDescriptor,Scoring In progress,"This section of the test is complete, but the rating is not complete for one or more responses.",uri://avantassessment.com/AssessmentReportingMethodDescriptor
NR,uri://avantassessment.com/PerformanceLevelDescriptor,Not Ratable,"A rater is not able to rate any of the responses in the section.",uri://avantassessment.com/AssessmentReportingMethodDescriptor
