assessmentIdentifier,originalGrade,edfi_descriptor
STAR-EARLY-LIT,0,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
STAR-EARLY-LIT,K,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
STAR-EARLY-LIT,1,uri://ed-fi.org/GradeLevelDescriptor#First grade
STAR-EARLY-LIT,2,uri://ed-fi.org/GradeLevelDescriptor#Second grade
STAR-EARLY-LIT,3,uri://ed-fi.org/GradeLevelDescriptor#Third grade
STAR-MA,0,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
STAR-MA,K,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
STAR-MA,1,uri://ed-fi.org/GradeLevelDescriptor#First grade
STAR-MA,2,uri://ed-fi.org/GradeLevelDescriptor#Second grade
STAR-MA,3,uri://ed-fi.org/GradeLevelDescriptor#Third grade
STAR-MA,4,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
STAR-MA,5,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
STAR-MA,6,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
STAR-MA,7,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
STAR-MA,8,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
STAR-MA,9,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
STAR-MA,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
STAR-MA,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
STAR-MA,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
STAR-MA,No grade level,uri://ed-fi.org/GradeLevelDescriptor#No grade level
STAR-RD,0,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
STAR-RD,K,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
STAR-RD,1,uri://ed-fi.org/GradeLevelDescriptor#First grade
STAR-RD,2,uri://ed-fi.org/GradeLevelDescriptor#Second grade
STAR-RD,3,uri://ed-fi.org/GradeLevelDescriptor#Third grade
STAR-RD,4,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
STAR-RD,5,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
STAR-RD,6,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
STAR-RD,7,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
STAR-RD,8,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
STAR-RD,9,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
STAR-RD,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
STAR-RD,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
STAR-RD,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
STAR-RD,No grade level,uri://ed-fi.org/GradeLevelDescriptor#No grade level
