assessmentIdentifier,assessmentTitle,assessmentFamily,namespace,assessmentCategoryDescriptor,academicSubjectDescriptor
tx_kea_dyslexia_checklist,KG Dyslexia Referral Checklist,"TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Diagnostic,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
tx_kea_dyslexia_screener,Dyslexia Screener,"TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Diagnostic,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
tx_kea_literacy_screening,Literacy Screening,"TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Diagnostic,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
tx_kea_literacy_reading_composite,Literacy Reading Composite,"TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
tx_kea_language_composite,Language Composite,"TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
tx_kea_letter_names,Letter Names,"TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
tx_kea_spelling,Spelling,"TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
tx_kea_listening_comp,Listening Comp,"TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
tx_kea_vocabulary,Vocabulary,"TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
tx_kea_decoding,Decoding,"TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
tx_kea_letter_sounds,Letter Sounds,"TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
tx_kea_blending,Blending,"TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
tx_kea_math,Math,"TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Achievement test,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
tx_kea_science,Science,"TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Achievement test,uri://ed-fi.org/AcademicSubjectDescriptor#Science
tx_kea_social_emotional,Social Emotional Competence,"TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Social and emotional development,uri://ed-fi.org/AcademicSubjectDescriptor#Other
tx_kea_emotional_management,Emotion Management,"TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Social and emotional development,uri://ed-fi.org/AcademicSubjectDescriptor#Other
tx_kea_working_memory,Working Memory,"TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Cognition and general knowledge,uri://ed-fi.org/AcademicSubjectDescriptor#Other
tx_kea_inhibition,Inhibition,"TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Cognition and general knowledge,uri://ed-fi.org/AcademicSubjectDescriptor#Other
tx_kea_attention,Attention,"TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Cognition and general knowledge,uri://ed-fi.org/AcademicSubjectDescriptor#Other
tx_kea_academic_motor,Academic Motor Skills,"TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Physical well-being and motor dev,"uri://ed-fi.org/AcademicSubjectDescriptor#Physical, Health, and Safety Education"
tx_kea_admin_mode,Administration Mode,"TX-KEA",uri://www.cliengage.org/tx-kea/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Other,uri://ed-fi.org/AcademicSubjectDescriptor#Other




