assessmentIdentifier,identificationCode,AcademicSubjectDescriptor
tx_kea_listening_comp,"Listening Comp 2 Receptive","uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts"
tx_kea_listening_comp,"Listening Comp 2 Expressive","uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts"
tx_kea_listening_comp,"Listening Comprehension 3 Receptive","uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts"
tx_kea_listening_comp,"Listening Comprehension 3 Expressive - Dropped","uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts"
tx_kea_letter_sounds,"Letter Sounds 2 Receptive","uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts"
tx_kea_letter_sounds,"Letter Sounds 2 Expressive","uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts"
tx_kea_letter_sounds,"Letter Sounds 3 Receptive","uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts"
tx_kea_letter_sounds,"Letter Sounds 3 Expressive","uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts"
tx_kea_blending,"Blending 2 Receptive","uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts"
tx_kea_blending,"Blending 2 Expressive","uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts"
tx_kea_blending,"Blending 3 Receptive","uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts"
tx_kea_blending,"Blending 3 Expressive","uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts"
tx_kea_math,"Math Part 1","uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics"
tx_kea_math,"Math Part 2","uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics"
tx_kea_math,"Math Part 1 W2","uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics"
tx_kea_math,"Math Part 2 W2","uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics"
tx_kea_math,"Math Part 1 W3","uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics"
tx_kea_math,"Math Part 2 W3","uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics"
tx_kea_dyslexia_screener,"Letter Sounds","uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts"
tx_kea_dyslexia_screener,"Blending","uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts"
tx_kea_dyslexia_screener,"Decoding","uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts"
tx_kea_literacy_screening,"Vocabulary Wave 1","uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts"
tx_kea_literacy_screening,"Letter Names Wave 1","uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts"
tx_kea_literacy_screening,"Spelling Wave 1","uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts"
tx_kea_literacy_reading_composite,"Letter Names Wave 1","uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts"
tx_kea_literacy_reading_composite,"Letter Sounds 1","uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts"
tx_kea_literacy_reading_composite,"Blending 1","uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts"
tx_kea_language_composite,"Vocabulary Wave 1","uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts"
tx_kea_language_composite,"Listening Comprehension 1","uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts"
