codeValue,description,namespace,shortDescription,column_name,data_type,is_deprecated,score_or_performance
Performance Level,Performance Level,uri://wida.wisc.edu/assess/access/AssessmentReportingMethodDescriptor,Performance Level,PerformanceLevel,Level,FALSE,performance
Proficiency Level,Proficiency Level,uri://wida.wisc.edu/assess/access/AssessmentReportingMethodDescriptor,Proficiency Level,ProficiencyLevel,Number,FALSE,score
Scale Score,Scale Score,uri://wida.wisc.edu/assess/access/AssessmentReportingMethodDescriptor,Scale Score,ScaleScore,Number,FALSE,score
Confidence Low Score,Confidence Low Score,uri://wida.wisc.edu/assess/access/AssessmentReportingMethodDescriptor,Confidence Low Score,ConfidenceLowScore,Number,FALSE,score
Confidence High Score,Confidence High Score,uri://wida.wisc.edu/assess/access/AssessmentReportingMethodDescriptor,Confidence High Score,ConfidenceHighScore,Number,FALSE,score
Cluster,Cluster,uri://wida.wisc.edu/assess/access/AssessmentReportingMethodDescriptor,Cluster,Cluster,Number,FALSE,score
Tier,Tier,uri://wida.wisc.edu/assess/access/AssessmentReportingMethodDescriptor,Tier,Tier,Number,FALSE,score
Domain Termination,Domain Termination,uri://wida.wisc.edu/assess/access/AssessmentReportingMethodDescriptor,Domain Termination,Domain Termination,Level,FALSE,score
Status,Status,uri://wida.wisc.edu/assess/access/AssessmentReportingMethodDescriptor,Status,Status,Level,FALSE,score
Number of Correct Responses,Number of Correct Responses,uri://wida.wisc.edu/assess/access/AssessmentReportingMethodDescriptor,Number of Correct Responses,Number of Correct Responses,Number,FALSE,score
