codeValue,description,namespace,shortDescription
Certificate Level,Certificate Level; 0 (did not earn a credential) or Achievement Levels 2-5,uri://winlearning.com/AssessmentReportingMethodDescriptor,Certificate Level
Accommodations,Indicates whether accommodations were in place for the test. Specific accommodations are not captured,uri://winlearning.com/AssessmentReportingMethodDescriptor,Accommodations
Lev,Level Score; 1-5,uri://winlearning.com/AssessmentReportingMethodDescriptor,Level Score
RS,Raw Score; 0-40,uri://winlearning.com/AssessmentReportingMethodDescriptor,Raw Score
SS,Scale Score; 150-260,uri://winlearning.com/AssessmentReportingMethodDescriptor,Scale Score
Status,Session Status,uri://winlearning.com/AssessmentReportingMethodDescriptor,Session Status
Duration,Test duration in minutes,uri://winlearning.com/AssessmentReportingMethodDescriptor,Duration (minutes)
Retake,Indicates whether the assessment scores from current year represent retakes,uri://winlearning.com/AssessmentReportingMethodDescriptor,Retake Indicator
Score,Pass/Fail for Soft Skills assessment,uri://winlearning.com/AssessmentReportingMethodDescriptor,Score
GR9,GR9,uri://winlearning.com/AssessmentReportingMethodDescriptor,GR9
TestAdmin,TestAdmin,uri://winlearning.com/AssessmentReportingMethodDescriptor,TestAdmin
