codeValue,description,namespace,shortDescription
Achievement Level 5,Certificate Level - 5,uri://winlearning.com/PerformanceLevelDescriptor,Achievement Level 5
Achievement Level 4,Certificate Level - 4,uri://winlearning.com/PerformanceLevelDescriptor,Achievement Level 4
Achievement Level 3,Certificate Level - 3,uri://winlearning.com/PerformanceLevelDescriptor,Achievement Level 3
Achievement Level 2,Certificate Level - 2,uri://winlearning.com/PerformanceLevelDescriptor,Achievement Level 2
Did not earn a credential,Student took all three assessments but did not earn a credential,uri://winlearning.com/PerformanceLevelDescriptor,Did not earn a credential
Incomplete,Launched assessment but did not complete or submit the assessment,uri://winlearning.com/PerformanceLevelDescriptor,Incomplete assessment
Complete,Complete assessment,uri://winlearning.com/PerformanceLevelDescriptor,Complete assessment
Pass,Pass,uri://winlearning.com/PerformanceLevelDescriptor,Pass
Fail,Fail,uri://winlearning.com/PerformanceLevelDescriptor,Fail
7,Certificate Level - 7,uri://winlearning.com/PerformanceLevelDescriptor,Achievement Level 7
6,Certificate Level - 6,uri://winlearning.com/PerformanceLevelDescriptor,Achievement Level 6
5,Certificate Level - 5,uri://winlearning.com/PerformanceLevelDescriptor,Achievement Level 5
4,Certificate Level - 4,uri://winlearning.com/PerformanceLevelDescriptor,Achievement Level 4
3,Certificate Level - 3,uri://winlearning.com/PerformanceLevelDescriptor,Achievement Level 3
2,Certificate Level - 2,uri://winlearning.com/PerformanceLevelDescriptor,Achievement Level 2
1,Certificate Level - 1,uri://winlearning.com/PerformanceLevelDescriptor,Achievement Level 1
0,Student took all three assessments but did not earn a credential,uri://winlearning.com/PerformanceLevelDescriptor,Did not earn a credential
