codeValue,description,namespace,shortDescription,reportingType,typeDescriptor,levels,min_year,max_year
Scale Score,Scale Score,uri://wisedashlocal/datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Scale Score,score,Integer,,,
Std Error Scale Score,Standard Error Scale Score,uri://wisedashlocal/datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Std Error Scale Score,score,Integer,,,
WI Percentile,WI Percentile,uri://wisedashlocal/datarecognitioncorp.com/AssessmentReportingMethodDescriptor,WI Percentile,score,Percentile,,,
WI NCE,WI NCE,uri://wisedashlocal/datarecognitioncorp.com/AssessmentReportingMethodDescriptor,WI NCE,score,Percentile,,,2023
Performance Level,Performance Level,uri://wisedashlocal/datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Performance Level,performance,,"[1,2,3,4]",,
Proficiency,Proficiency,uri://wisedashlocal/datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Proficiency,performance,,"[1,2,3,4]",,
Progress Score,Progress Score,uri://wisedashlocal/datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Progress Score,score,Integer,,2024,
Progress Level,Progress Level,uri://wisedashlocal/datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Progress Level,performance,,"[1,2,3,4]",2024,
Total Points Earned,Total Points Earned,uri://wisedashlocal/datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Total Points Earned,score,Integer,,,
Points Earned MC,Points Earned MC,uri://wisedashlocal/datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Points Earned MC,score,Integer,,,
Points Earned Autoscored,Points Earned Autoscored,uri://wisedashlocal/datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Points Earned Autoscored,score,Integer,,,
Points Earned TDA,Points Earned TDA,uri://wisedashlocal/datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Points Earned TDA,score,Integer,,2022,2023
Points Earned TDA,Points Earned TDA,uri://wisedashlocal/datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Points Earned TDA,score,Integer,,,2019
Points Earned Short Write,Points Earned Short Write,uri://wisedashlocal/datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Points Earned Short Write,score,Integer,,,
Points Earned,Points Earned,uri://wisedashlocal/datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Points Earned,score,Integer,,,
