assessmentIdentifier,col,raw_col,min_year,max_year
WIForward_ELA,Color_Choices,Color_Choices_ELA,2024,
WIForward_ELA,Contrasting_Color,Contrasting_Color_ELA,2024,
WIForward_ELA,Reverse_Contrast,Reverse_Contrast_ELA,2024,
WIForward_ELA,Masking,Masking_ELA,2024,
WIForward_ELA,Hearing_Assist_Tech,Hearing_Assist_Tech_ELA,2024,
WIForward_ELA,Color_Overlay,Color_Overlay_ELA,2024,
WIForward_ELA,Magnification,Magnification_ELA,2024,
WIForward_ELA,Noise_Buffers,Noise_Buffers_ELA,2024,
WIForward_ELA,Read_Aloud_English,Read_Aloud_English_ELA,2024,
WIForward_ELA,Scribe,Scribe_ELA,2024,
WIForward_ELA,Separate_Setting,Separate_Setting_ELA,2024,
WIForward_ELA,Small_Group_Translation,Small_Group_Translation_ELA,2024,
WIForward_ELA,Translator_Interpreter,Translator_Interpreter_ELA,2024,
WIForward_ELA,VSL,VSL_ELA,2024,
WIForward_ELA,Alternate_Response_Options,Alternate_Response_Options_ELA,2024,
WIForward_ELA,Braille,Braille_ELA,2024,
WIForward_ELA,Print_on_Demand,Print_on_Demand_ELA,2024,
WIForward_ELA,Read_Aloud_Passages,Read_Aloud_Passages_ELA,2024,
WIForward_MTH,Color_Choices,Color_Choices_MTH,2024,
WIForward_MTH,Contrasting_Color,Contrasting_Color_MTH,2024,
WIForward_MTH,Reverse_Contrast,Reverse_Contrast_MTH,2024,
WIForward_MTH,Masking,Masking_MTH,2024,
WIForward_MTH,Stacked_Translation_English_TTS,Stacked_Translation_English_TTS_MTH,2024,
WIForward_MTH,Stacked_Translation_Spanish_TTS,Stacked_Translation_Spanish_TTS_MTH,2024,
WIForward_MTH,Hearing_Assist_Tech,Hearing_Assist_Tech_MTH,2024,
WIForward_MTH,Bilingual_Dictionary,Bilingual_Dictionary_MTH,2024,
WIForward_MTH,Color_Overlay,Color_Overlay_MTH,2024,
WIForward_MTH,Magnification,Magnification_MTH,2024,
WIForward_MTH,Noise_Buffers,Noise_Buffers_MTH,2024,
WIForward_MTH,Read_Aloud_English,Read_Aloud_English_MTH,2024,
WIForward_MTH,Read_Aloud_Spanish,Read_Aloud_Spanish_MTH,2024,
WIForward_MTH,Scribe,Scribe_MTH,2024,
WIForward_MTH,Separate_Setting,Separate_Setting_MTH,2024,
WIForward_MTH,Small_Group_Translation,Small_Group_Translation_MTH,2024,
WIForward_MTH,Translator_Interpreter,Translator_Interpreter_MTH,2024,
WIForward_MTH,VSL,VSL_MTH,2024,
WIForward_MTH,Abacus,Abacus_MTH,2024,
WIForward_MTH,Alternate_Response_Options,Alternate_Response_Options_MTH,2024,
WIForward_MTH,Braille,Braille_MTH,2024,
WIForward_MTH,Non-embedded_Calculator,Non-embedded_Calculator_MTH,2024,
WIForward_MTH,Multiplication_Table,Multiplication_Table_MTH,2024,
WIForward_MTH,Print_on_Demand,Print_on_Demand_MTH,2024,
WIForward_SCN,Color_Choices,Color_Choices_SCN,2024,
WIForward_SCN,Contrasting_Color,Contrasting_Color_SCN,2024,
WIForward_SCN,Reverse_Contrast,Reverse_Contrast_SCN,2024,
WIForward_SCN,Masking,Masking_SCN,2024,
WIForward_SCN,Stacked_Translation_English_TTS,Stacked_Translation_English_TTS_SCN,2024,
WIForward_SCN,Stacked_Translation_Spanish_TTS,Stacked_Translation_Spanish_TTS_SCN,2024,
WIForward_SCN,Hearing_Assist_Tech,Hearing_Assist_Tech_SCN,2024,
WIForward_SCN,Bilingual_Dictionary,Bilingual_Dictionary_SCN,2024,
WIForward_SCN,Color_Overlay,Color_Overlay_SCN,2024,
WIForward_SCN,Magnification,Magnification_SCN,2024,
WIForward_SCN,Noise_Buffers,Noise_Buffers_SCN,2024,
WIForward_SCN,Read_Aloud_English,Read_Aloud_English_SCN,2024,
WIForward_SCN,Read_Aloud_Spanish,Read_Aloud_Spanish_SCN,2024,
WIForward_SCN,Scribe,Scribe_SCN,2024,
WIForward_SCN,Separate_Setting,Separate_Setting_SCN,2024,
WIForward_SCN,Small_Group_Translation,Small_Group_Translation_SCN,2024,
WIForward_SCN,Translator_Interpreter,Translator_Interpreter_SCN,2024,
WIForward_SCN,VSL,VSL_SCN,2024,
WIForward_SCN,Alternate_Response_Options,Alternate_Response_Options_SCN,2024,
WIForward_SCN,Braille,Braille_SCN,2024,
WIForward_SCN,Print_on_Demand,Print_on_Demand_SCN,2024,
WIForward_SS,Color_Choices,Color_Choices_SS,2024,
WIForward_SS,Contrasting_Color,Contrasting_Color_SS,2024,
WIForward_SS,Reverse_Contrast,Reverse_Contrast_SS,2024,
WIForward_SS,Masking,Masking_SS,2024,
WIForward_SS,Stacked_Translation_English_TTS,Stacked_Translation_English_TTS_SS,2024,
WIForward_SS,Stacked_Translation_Spanish_TTS,Stacked_Translation_Spanish_TTS_SS,2024,
WIForward_SS,Hearing_Assist_Tech,Hearing_Assist_Tech_SS,2024,
WIForward_SS,Bilingual_Dictionary,Bilingual_Dictionary_SS,2024,
WIForward_SS,Color_Overlay,Color_Overlay_SS,2024,
WIForward_SS,Magnification,Magnification_SS,2024,
WIForward_SS,Noise_Buffers,Noise_Buffers_SS,2024,
WIForward_SS,Read_Aloud_English,Read_Aloud_English_SS,2024,
WIForward_SS,Read_Aloud_Spanish,Read_Aloud_Spanish_SS,2024,
WIForward_SS,Scribe,Scribe_SS,2024,
WIForward_SS,Separate_Setting,Separate_Setting_SS,2024,
WIForward_SS,Small_Group_Translation,Small_Group_Translation_SS,2024,
WIForward_SS,Translator_Interpreter,Translator_Interpreter_SS,2024,
WIForward_SS,VSL,VSL_SS,2024,
WIForward_SS,Alternate_Response_Options,Alternate_Response_Options_SS,2024,
WIForward_SS,Braille,Braille_SS,2024,
WIForward_SS,Print_on_Demand,Print_on_Demand_SS,2024,
