assessmentIdentifier,col,raw_col,min_year,max_year
WIForward_ELA,schoolYear,Year,,
WIForward_ELA,adminDate,Test_End_Date_ELA,,
WIForward_ELA,attemptStatus,ELA_Attempted_Status,,
WIForward_ELA,reasonNotTested,Reason_Not_Tested_ELA,,
WIForward_ELA,educationOrganizationId,School_Agency_Key,
WIForward_MTH,schoolYear,Year,,
WIForward_MTH,adminDate,Test_End_Date_MTH,,
WIForward_MTH,attemptStatus,MTH_Attempted_Status,,
WIForward_MTH,reasonNotTested,Reason_Not_Tested_MT,,
WIForward_MTH,educationOrganizationId,School_Agency_Key,,
WIForward_SCN,schoolYear,Year,,
WIForward_SCN,adminDate,Test_End_Date_SCN,,
WIForward_SCN,attemptStatus,SCN_Attempted_Status,,
WIForward_SCN,reasonNotTested,Reason_Not_Tested_SC,,
WIForward_SCN,educationOrganizationId,School_Agency_Key,,
WIForward_SS,schoolYear,Year,,
WIForward_SS,adminDate,Test_End_Date_SS,,
WIForward_SS,attemptStatus,SS_Attempted_Status,,
WIForward_SS,reasonNotTested,Reason_Not_Tested_SS,,
WIForward_SS,educationOrganizationId,School_Agency_Key,,
