assessmentIdentifier,objectiveAssessment__identificationCode,reportingMethod__codeValue,col,raw_col,min_year,max_year
WIForward_ELA,,Scale Score,scaleScore,Scale_Score_ELA,,
WIForward_ELA,,Std Error Scale Score,stdErrorScaleScore,Std_Error_Scale_Score_ELA,,
WIForward_ELA,,WI Percentile,percentile,WI_Percentile_ELA,,
WIForward_ELA,,Performance Level,performanceLevel,ELA_Performance_Level,2024,
WIForward_ELA,,Proficiency,performanceLevel,ELA_Proficiency,,2023
WIForward_ELA,,Total Points Earned,Total_Points_Earned,Total_Points_Earned_ELA,,
WIForward_ELA,,Points Earned MC,Points_Earned_MC,Points_Earned_ELA_MC,,
WIForward_ELA,,Points Earned Autoscored,Points_Earned_Autoscored,Points_Earned_ELA_Autoscored,,
WIForward_ELA,,Points Earned TDA,Points_Earned_TDA,Points_Earned_ELA_TDA,,2023
WIForward_ELA,,ELA S1 Attempted Status,ELA_S1_Attempted_Status,ELA_S1_Attempted_Status,2024,
WIForward_ELA,,ELA S2 Attempted Status,ELA_S2_Attempted_Status,ELA_S2_Attempted_Status,2024,
WIForward_ELA,,ELA S3 Attempted Status,ELA_S3_Attempted_Status,ELA_S3_Attempted_Status,2024,
WIForward_ELA,Reading,Scale Score,Scale_Score_Reading,,2024,
WIForward_ELA,Reading,Std Error Scale Score,Std_Error_Scale_Score_Reading,,2024,
WIForward_ELA,Reading,WI Percentile,WI_Percentile_Reading,,2024,
WIForward_ELA,Reading,Performance Level,Reading_Performance_Level,,2024,
WIForward_ELA,Reading,Points Earned,Points_Earned_Reading,,2024,
WIForward_ELA,Writing,Scale Score,Scale_Score_Writing_Language,,2024,
WIForward_ELA,Writing,Std Error Scale Score,Std_Error_Scale_Score_Writing_Language,,2024,
WIForward_ELA,Writing,WI Percentile,WI_Percentile_Writing_Language,,2024,
WIForward_ELA,Writing,Performance Level,Writing_Language_Performance_Level,,2024,
WIForward_ELA,Writing,Points Earned,Points_Earned_Writing_Language,,2024,
WIForward_ELA,Reading_KI,Progress Score,Progress_Score_ELA_Reading_KI,,2024,
WIForward_ELA,Reading_KI,Progress Level,Progress_Level_ELA_Reading_KI,,2024,
WIForward_ELA,Reading_KI,Points Earned,Points_Earned_ELA_Reading_KI,,2024,
WIForward_ELA,Reading_CS,Progress Score,Progress_Score_ELA_Reading_CS,,2024,
WIForward_ELA,Reading_CS,Progress Level,Progress_Level_ELA_Reading_CS,,2024,
WIForward_ELA,Reading_CS,Points Earned,Points_Earned_ELA_Reading_CS,,2024,
WIForward_ELA,Reading_VU,Progress Score,Progress_Score_ELA_Reading_VU,,2024,
WIForward_ELA,Reading_VU,Progress Level,Progress_Level_ELA_Reading_VU,,2024,
WIForward_ELA,Reading_VU,Points Earned,Points_Earned_ELA_Reading_VU,,2024,
