assessmentIdentifier,originalGrade,gradeLevelDescriptor
WIForward_ELA,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
WIForward_ELA,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
WIForward_ELA,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
WIForward_ELA,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
WIForward_ELA,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
WIForward_ELA,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
WIForward_MTH,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
WIForward_MTH,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
WIForward_MTH,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
WIForward_MTH,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
WIForward_MTH,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
WIForward_MTH,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
WIForward_SCN,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
WIForward_SCN,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
WIForward_SS,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
WIForward_SS,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
WIForward_SS,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
