identificationCode,assessmentIdentifier,namespace,description,parentIdentificationCode,min_year,max_year
Reading,WIForward_ELA,uri://wisedashlocal/datarecognitioncorp.com,Reading Domain,,,
Writing,WIForward_ELA,uri://wisedashlocal/datarecognitioncorp.com,Writing Domain,,,
Listening,WIForward_ELA,uri://wisedashlocal/datarecognitioncorp.com,Listening Domain,,,2023
Reading_KI,WIForward_ELA,uri://wisedashlocal/datarecognitioncorp.com,Key Ideas and Details,Reading,,
Reading_CS,WIForward_ELA,uri://wisedashlocal/datarecognitioncorp.com,Craft and Structure/Integration of Knowledge,Reading,,
Reading_VU,WIForward_ELA,uri://wisedashlocal/datarecognitioncorp.com,Vocabulary Use,Reading,,
Writing_Lang_TT,WIForward_ELA,uri://wisedashlocal/datarecognitioncorp.com,Text Types and Purposes,Writing,,
Writing_Lang_IB,WIForward_ELA,uri://wisedashlocal/datarecognitioncorp.com,Inquiry to Build and Present Knowledge,Writing,2024,
Writing_Lang_LC,WIForward_ELA,uri://wisedashlocal/datarecognitioncorp.com,Language Conventions,Writing,,
Writing_Lang_Research,WIForward_ELA,uri://wisedashlocal/datarecognitioncorp.com,Research,Writing,,2023
MTH_Gr3-5_OA,WIForward_MTH,uri://wisedashlocal/datarecognitioncorp.com,Operations and Algebraic Thinking (grades 3-5),,,
MTH_Gr3-5_NBT,WIForward_MTH,uri://wisedashlocal/datarecognitioncorp.com,Number and Operations in Base Ten (grades 3-5),,,
MTH_Gr3-5_NF,WIForward_MTH,uri://wisedashlocal/datarecognitioncorp.com,Number and Operations - Fractions (grades 3-5),,,
MTH_Gr3-5_MD,WIForward_MTH,uri://wisedashlocal/datarecognitioncorp.com,Measurement and Data (grades 3-5),,,
MTH_Gr3-8_GEO,WIForward_MTH,uri://wisedashlocal/datarecognitioncorp.com,Geometry (grades 3-8),,,
MTH_Gr6-7_RP,WIForward_MTH,uri://wisedashlocal/datarecognitioncorp.com,Ratios and Proportional Relationships (grades 6-7),,,
MTH_Gr6-8_NS,WIForward_MTH,uri://wisedashlocal/datarecognitioncorp.com,The Number System (grades 6-8),,,
MTH_Gr6-8_EE,WIForward_MTH,uri://wisedashlocal/datarecognitioncorp.com,Expressions and Equations (grades 6-8),,,
MTH_Gr6-8_SP,WIForward_MTH,uri://wisedashlocal/datarecognitioncorp.com,Statistics and Probability (grades 6-8),,,
MTH_Gr8_FNC,WIForward_MTH,uri://wisedashlocal/datarecognitioncorp.com,Functions (grades 8),,,
SCN_LS,WIForward_SCN,uri://wisedashlocal/datarecognitioncorp.com,Life Science,,,
SCN_PS,WIForward_SCN,uri://wisedashlocal/datarecognitioncorp.com,Physical Science,,,
SCN_ES,WIForward_SCN,uri://wisedashlocal/datarecognitioncorp.com,Earth and Space Science,,,
SCN_ET,WIForward_SCN,uri://wisedashlocal/datarecognitioncorp.com,Engineering,,2019,
SCN_SC,WIForward_SCN,uri://wisedashlocal/datarecognitioncorp.com,Science Connections and Nature of Science,,,2018
SCN_SI,WIForward_SCN,uri://wisedashlocal/datarecognitioncorp.com,Science Inquiry,,,2018
SCN_SA,WIForward_SCN,uri://wisedashlocal/datarecognitioncorp.com,Science Applications and Personal Social Perspectives,,,2018
SS_BH,WIForward_SS,uri://wisedashlocal/datarecognitioncorp.com,Behavioral Sciences,,,
SS_Econ,WIForward_SS,uri://wisedashlocal/datarecognitioncorp.com,Economics,,,
SS_Geog,WIForward_SS,uri://wisedashlocal/datarecognitioncorp.com,Geography,,,
SS_Hist,WIForward_SS,uri://wisedashlocal/datarecognitioncorp.com,History,,,
SS_PS,WIForward_SS,uri://wisedashlocal/datarecognitioncorp.com,Political Science and Citizenship,,,
