codeValue,description,namespace,shortDescription
Overall Scale Score,Overall Scale Score,uri://curriculumassociates.com/PerformanceLevelDescriptor,Overall Scale Score
Overall Placement,Overall Placement,uri://curriculumassociates.com/PerformanceLevelDescriptor,Overall Placement
Overall Relative Placement,Overall Relative Placement,uri://curriculumassociates.com/PerformanceLevelDescriptor,Overall Relative Placement
Percentile,Percentile,uri://curriculumassociates.com/PerformanceLevelDescriptor,Percentile
Grouping,Grouping,uri://curriculumassociates.com/PerformanceLevelDescriptor,Grouping
Lexile Measure,Lexile Measure,uri://curriculumassociates.com/PerformanceLevelDescriptor,Lexile Measure
Lexile Range,Lexile Range,uri://curriculumassociates.com/PerformanceLevelDescriptor,Lexile Range
Phonological Awareness Scale Score,Phonological Awareness Scale Score,uri://curriculumassociates.com/PerformanceLevelDescriptor,Phonological Awareness Scale Score
Phonological Awareness Placement,Phonological Awareness Placement,uri://curriculumassociates.com/PerformanceLevelDescriptor,Phonological Awareness Placement
Phonological Awareness Relative Placement,Phonological Awareness Relative Placement,uri://curriculumassociates.com/PerformanceLevelDescriptor,Phonological Awareness Relative Placement
Phonics Scale Score,Phonics Scale Score,uri://curriculumassociates.com/PerformanceLevelDescriptor,Phonics Scale Score
Phonics Placement,Phonics Placement,uri://curriculumassociates.com/PerformanceLevelDescriptor,Phonics Placement
Phonics Relative Placement,Phonics Relative Placement,uri://curriculumassociates.com/PerformanceLevelDescriptor,Phonics Relative Placement
High-Frequency Words Scale Score,High-Frequency Words Scale Score,uri://curriculumassociates.com/PerformanceLevelDescriptor,High-Frequency Words Scale Score
High-Frequency Words Placement,High-Frequency Words Placement,uri://curriculumassociates.com/PerformanceLevelDescriptor,High-Frequency Words Placement
High-Frequency Words Relative Placement,High-Frequency Words Relative Placement,uri://curriculumassociates.com/PerformanceLevelDescriptor,High-Frequency Words Relative Placement
Vocabulary Scale Score,Vocabulary Scale Score,uri://curriculumassociates.com/PerformanceLevelDescriptor,Vocabulary Scale Score
Vocabulary Placement,Vocabulary Placement,uri://curriculumassociates.com/PerformanceLevelDescriptor,Vocabulary Placement
Vocabulary Relative Placement,Vocabulary Relative Placement,uri://curriculumassociates.com/PerformanceLevelDescriptor,Vocabulary Relative Placement
Comprehension: Overall Scale Score,Comprehension: Overall Scale Score,uri://curriculumassociates.com/PerformanceLevelDescriptor,Comprehension: Overall Scale Score
Comprehension: Overall Placement,Comprehension: Overall Placement,uri://curriculumassociates.com/PerformanceLevelDescriptor,Comprehension: Overall Placement
Comprehension: Overall Relative Placement,Comprehension: Overall Relative Placement,uri://curriculumassociates.com/PerformanceLevelDescriptor,Comprehension: Overall Relative Placement
Comprehension: Literature Scale Score,Comprehension: Literature Scale Score,uri://curriculumassociates.com/PerformanceLevelDescriptor,Comprehension: Literature Scale Score
Comprehension: Literature Placement,Comprehension: Literature Placement,uri://curriculumassociates.com/PerformanceLevelDescriptor,Comprehension: Literature Placement
Comprehension: Literature Relative Placement,Comprehension: Literature Relative Placement,uri://curriculumassociates.com/PerformanceLevelDescriptor,Comprehension: Literature Relative Placement
Comprehension: Informational Text Scale Score,Comprehension: Informational Text Scale Score,uri://curriculumassociates.com/PerformanceLevelDescriptor,Comprehension: Informational Text Scale Score
Comprehension: Informational Text Placement,Comprehension: Informational Text Placement,uri://curriculumassociates.com/PerformanceLevelDescriptor,Comprehension: Informational Text Placement
Comprehension: Informational Text Relative Placement,Comprehension: Informational Text Relative Placement,uri://curriculumassociates.com/PerformanceLevelDescriptor,Comprehension: Informational Text Relative Placement
Diagnostic Gain,Diagnostic Gain,uri://curriculumassociates.com/PerformanceLevelDescriptor,Diagnostic Gain
Annual Typical Growth Measure,Annual Typical Growth Measure,uri://curriculumassociates.com/PerformanceLevelDescriptor,Annual Typical Growth Measure
Annual Stretch Growth Measure,Annual Stretch Growth Measure,uri://curriculumassociates.com/PerformanceLevelDescriptor,Annual Stretch Growth Measure
Percent Progress to Annual Typical Growth (%),Percent Progress to Annual Typical Growth (%),uri://curriculumassociates.com/PerformanceLevelDescriptor,Percent Progress to Annual Typical Growth (%)
Percent Progress to Annual Stretch Growth (%),Percent Progress to Annual Stretch Growth (%),uri://curriculumassociates.com/PerformanceLevelDescriptor,Percent Progress to Annual Stretch Growth (%)
Mid On Grade Level Scale Score,Mid On Grade Level Scale Score,uri://curriculumassociates.com/PerformanceLevelDescriptor,Mid On Grade Level Scale Score
Reading Difficulty Indicator (Y/N),Reading Difficulty Indicator (Y/N),uri://curriculumassociates.com/PerformanceLevelDescriptor,Reading Difficulty Indicator (Y/N)
Quantile Measure,Quantile Measure,uri://curriculumassociates.com/PerformanceLevelDescriptor,Quantile Measure
Quantile Range,Quantile Range,uri://curriculumassociates.com/PerformanceLevelDescriptor,Quantile Range
Number and Operations Scale Score,Number and Operations Scale Score,uri://curriculumassociates.com/PerformanceLevelDescriptor,Number and Operations Scale Score
Number and Operations Placement,Number and Operations Placement,uri://curriculumassociates.com/PerformanceLevelDescriptor,Number and Operations Placement
Number and Operations Relative Placement,Number and Operations Relative Placement,uri://curriculumassociates.com/PerformanceLevelDescriptor,Number and Operations Relative Placement
Algebra and Algebraic Thinking Scale Score,Algebra and Algebraic Thinking Scale Score,uri://curriculumassociates.com/PerformanceLevelDescriptor,Algebra and Algebraic Thinking Scale Score
Algebra and Algebraic Thinking Placement,Algebra and Algebraic Thinking Placement,uri://curriculumassociates.com/PerformanceLevelDescriptor,Algebra and Algebraic Thinking Placement
Algebra and Algebraic Thinking Relative Placement,Algebra and Algebraic Thinking Relative Placement,uri://curriculumassociates.com/PerformanceLevelDescriptor,Algebra and Algebraic Thinking Relative Placement
Measurement and Data Scale Score,Measurement and Data Scale Score,uri://curriculumassociates.com/PerformanceLevelDescriptor,Measurement and Data Scale Score
Measurement and Data Placement,Measurement and Data Placement,uri://curriculumassociates.com/PerformanceLevelDescriptor,Measurement and Data Placement
Measurement and Data Relative Placement,Measurement and Data Relative Placement,uri://curriculumassociates.com/PerformanceLevelDescriptor,Measurement and Data Relative Placement
Geometry Scale Score,Geometry Scale Score,uri://curriculumassociates.com/PerformanceLevelDescriptor,Geometry Scale Score
Geometry Placement,Geometry Placement,uri://curriculumassociates.com/PerformanceLevelDescriptor,Geometry Placement
Geometry Relative Placement,Geometry Relative Placement,uri://curriculumassociates.com/PerformanceLevelDescriptor,Geometry Relative Placement
