identificationCode,assessmentIdentifier,namespace,description
CAINC-IREADY-DIAGNOSTIC-MATH-NUMBER-AND-OPERATIONS,CAINC-IREADY-DIAGNOSTIC-MATH,uri://cainc.com/,Number and Operations
CAINC-IREADY-DIAGNOSTIC-MATH-ALGEBRA,CAINC-IREADY-DIAGNOSTIC-MATH,uri://cainc.com/,Algebra and Algebraic Thinking
CAINC-IREADY-DIAGNOSTIC-MATH-MEASUREMENT-AND-DATA,CAINC-IREADY-DIAGNOSTIC-MATH,uri://cainc.com/,Measurement and Data
CAINC-IREADY-DIAGNOSTIC-MATH-GEOMETRY,CAINC-IREADY-DIAGNOSTIC-MATH,uri://cainc.com/,Geometry
CAINC-IREADY-DIAGNOSTIC-ELA-PHONOLOGICAL-AWARENESS,CAINC-IREADY-DIAGNOSTIC-ELA,uri://cainc.com/,Phonological Awareness
CAINC-IREADY-DIAGNOSTIC-ELA-PHONICS,CAINC-IREADY-DIAGNOSTIC-ELA,uri://cainc.com/,Phonics
CAINC-IREADY-DIAGNOSTIC-ELA-HIGH-FREQUENCY-WORDS,CAINC-IREADY-DIAGNOSTIC-ELA,uri://cainc.com/,High-Frequency Words
CAINC-IREADY-DIAGNOSTIC-ELA-VOCABULARY,CAINC-IREADY-DIAGNOSTIC-ELA,uri://cainc.com/,Vocabulary
CAINC-IREADY-DIAGNOSTIC-ELA-COMP-OVERALL,CAINC-IREADY-DIAGNOSTIC-ELA,uri://cainc.com/,Comprehension: Overall
CAINC-IREADY-DIAGNOSTIC-ELA-COMP-LITERATURE,CAINC-IREADY-DIAGNOSTIC-ELA,uri://cainc.com/,Comprehension: Literature
CAINC-IREADY-DIAGNOSTIC-ELA-COMP-INFORMATION-TEXT,CAINC-IREADY-DIAGNOSTIC-ELA,uri://cainc.com/,Comprehension: Informational Text
