codeValue,description,namespace,shortDescription
Early 1,Early 1,uri://curriculumassociates.com/PerformanceLevelDescriptor,Early 1
Early 10,Early 10,uri://curriculumassociates.com/PerformanceLevelDescriptor,Early 10
Early 11,Early 11,uri://curriculumassociates.com/PerformanceLevelDescriptor,Early 11
Early 12,Early 12,uri://curriculumassociates.com/PerformanceLevelDescriptor,Early 12
Early 2,Early 2,uri://curriculumassociates.com/PerformanceLevelDescriptor,Early 2
Early 3,Early 3,uri://curriculumassociates.com/PerformanceLevelDescriptor,Early 3
Early 4,Early 4,uri://curriculumassociates.com/PerformanceLevelDescriptor,Early 4
Early 5,Early 5,uri://curriculumassociates.com/PerformanceLevelDescriptor,Early 5
Early 6,Early 6,uri://curriculumassociates.com/PerformanceLevelDescriptor,Early 6
Early 7,Early 7,uri://curriculumassociates.com/PerformanceLevelDescriptor,Early 7
Early 8,Early 8,uri://curriculumassociates.com/PerformanceLevelDescriptor,Early 8
Early 9,Early 9,uri://curriculumassociates.com/PerformanceLevelDescriptor,Early 9
Early K,Early K,uri://curriculumassociates.com/PerformanceLevelDescriptor,Early K
Early / Mid K,Early / Mid K,uri://curriculumassociates.com/PerformanceLevelDescriptor,Early / Mid K,
Late 1,Late 1,uri://curriculumassociates.com/PerformanceLevelDescriptor,Late 1
Late 10,Late 10,uri://curriculumassociates.com/PerformanceLevelDescriptor,Late 10
Late 11,Late 11,uri://curriculumassociates.com/PerformanceLevelDescriptor,Late 11
Late 12,Late 12,uri://curriculumassociates.com/PerformanceLevelDescriptor,Late 12
Late 2,Late 2,uri://curriculumassociates.com/PerformanceLevelDescriptor,Late 2
Late 3,Late 3,uri://curriculumassociates.com/PerformanceLevelDescriptor,Late 3
Late 4,Late 4,uri://curriculumassociates.com/PerformanceLevelDescriptor,Late 4
Late 5,Late 5,uri://curriculumassociates.com/PerformanceLevelDescriptor,Late 5
Late 6,Late 6,uri://curriculumassociates.com/PerformanceLevelDescriptor,Late 6
Late 7,Late 7,uri://curriculumassociates.com/PerformanceLevelDescriptor,Late 7
Late 8,Late 8,uri://curriculumassociates.com/PerformanceLevelDescriptor,Late 8
Late 9,Late 9,uri://curriculumassociates.com/PerformanceLevelDescriptor,Late 9
Late K,Late K,uri://curriculumassociates.com/PerformanceLevelDescriptor,Late K
Emerging K,Emerging K,uri://curriculumassociates.com/PerformanceLevelDescriptor,Emerging K
Level 1,Level 1,uri://curriculumassociates.com/PerformanceLevelDescriptor,Level 1
Level 10,Level 10,uri://curriculumassociates.com/PerformanceLevelDescriptor,Level 10
Level 11,Level 11,uri://curriculumassociates.com/PerformanceLevelDescriptor,Level 11
Level 12,Level 12,uri://curriculumassociates.com/PerformanceLevelDescriptor,Level 12
Level 2,Level 2,uri://curriculumassociates.com/PerformanceLevelDescriptor,Level 2
Level 3,Level 3,uri://curriculumassociates.com/PerformanceLevelDescriptor,Level 3
Level 4,Level 4,uri://curriculumassociates.com/PerformanceLevelDescriptor,Level 4
Level 5,Level 5,uri://curriculumassociates.com/PerformanceLevelDescriptor,Level 5
Level 6,Level 6,uri://curriculumassociates.com/PerformanceLevelDescriptor,Level 6
Level 7,Level 7,uri://curriculumassociates.com/PerformanceLevelDescriptor,Level 7
Level 8,Level 8,uri://curriculumassociates.com/PerformanceLevelDescriptor,Level 8
Level 9,Level 9,uri://curriculumassociates.com/PerformanceLevelDescriptor,Level 9
Level K,Level K,uri://curriculumassociates.com/PerformanceLevelDescriptor,Level K
Mid 1,Mid 1,uri://curriculumassociates.com/PerformanceLevelDescriptor,Mid 1
Mid 10,Mid 10,uri://curriculumassociates.com/PerformanceLevelDescriptor,Mid 10
Mid 11,Mid 11,uri://curriculumassociates.com/PerformanceLevelDescriptor,Mid 11
Mid 12,Mid 11,uri://curriculumassociates.com/PerformanceLevelDescriptor,Mid 12
Mid 2,Mid 2,uri://curriculumassociates.com/PerformanceLevelDescriptor,Mid 2
Mid 3,Mid 3,uri://curriculumassociates.com/PerformanceLevelDescriptor,Mid 3
Mid 4,Mid 4,uri://curriculumassociates.com/PerformanceLevelDescriptor,Mid 4
Mid 5,Mid 5,uri://curriculumassociates.com/PerformanceLevelDescriptor,Mid 5
Mid 6,Mid 6,uri://curriculumassociates.com/PerformanceLevelDescriptor,Mid 6
Mid 7,Mid 7,uri://curriculumassociates.com/PerformanceLevelDescriptor,Mid 7
Mid 8,Mid 8,uri://curriculumassociates.com/PerformanceLevelDescriptor,Mid 8
Mid 9,Mid 9,uri://curriculumassociates.com/PerformanceLevelDescriptor,Mid 9
Mid K,Mid K,uri://curriculumassociates.com/PerformanceLevelDescriptor,Mid K
Max Score,Max Score,uri://curriculumassociates.com/PerformanceLevelDescriptor,Max Score
Tested Out,Tested Out,uri://curriculumassociates.com/PerformanceLevelDescriptor,Tested Out
1 Grade Level Below,1 Grade Level Below,uri://curriculumassociates.com/PerformanceLevelDescriptor,1 Grade Level Below
2 Grade Levels Below,2 Grade Levels Below,uri://curriculumassociates.com/PerformanceLevelDescriptor,2 Grade Levels Below
3 or More Grade Levels Below,3 or More Grade Levels Below,uri://curriculumassociates.com/PerformanceLevelDescriptor,3 or More Grade Levels Below
Early On Grade Level,Early On Grade Level,uri://curriculumassociates.com/PerformanceLevelDescriptor,Early On Grade Level
Mid or Above Grade Level,Mid or Above Grade Level,uri://curriculumassociates.com/PerformanceLevelDescriptor,Mid or Above Grade Level
