assessmentIdentifier,istation_grade,gradeLevelDescriptor
Istation Reading,0,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
Istation Reading,1,uri://ed-fi.org/GradeLevelDescriptor#First grade
Istation Reading,2,uri://ed-fi.org/GradeLevelDescriptor#Second grade
Istation Reading,3,uri://ed-fi.org/GradeLevelDescriptor#Third grade
Istation Reading,4,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
Istation Reading,5,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
Istation Reading,6,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
Istation Reading,7,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
Istation Reading,8,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
Istation Reading,-1,uri://ed-fi.org/GradeLevelDescriptor#No grade level
Istation Spanish,0,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
Istation Spanish,1,uri://ed-fi.org/GradeLevelDescriptor#First grade
Istation Spanish,2,uri://ed-fi.org/GradeLevelDescriptor#Second grade
Istation Spanish,3,uri://ed-fi.org/GradeLevelDescriptor#Third grade
Istation Spanish,4,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
Istation Spanish,5,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
Istation Spanish,6,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
Istation Spanish,7,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
Istation Spanish,8,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
Istation Spanish,-1,uri://ed-fi.org/GradeLevelDescriptor#No grade level
