SchoolYear,StateName,DistrictName,SchoolName,ClassroomName,InitDistrictId,StudentId,Assessment,Objective,TimeWindow,AssessmentIdentifier,Score,Tier,AdministrationDate
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298301,Early Literacy+,Picture Naming,Fall Screening,EarlyLiteracy+_PictureNaming,45,Tier II/III,9/20/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298302,Early Literacy+,Picture Naming,Fall Screening,EarlyLiteracy+_PictureNaming,48,Cut Range,9/20/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298303,Early Literacy+,Picture Naming,Fall Screening,EarlyLiteracy+_PictureNaming,50,Tier I,9/21/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298304,Early Literacy+,Picture Naming,Fall Screening,EarlyLiteracy+_PictureNaming,55,Tier I,9/19/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298305,Early Literacy+,Picture Naming,Fall Screening,EarlyLiteracy+_PictureNaming,47,Cut Range,9/21/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298306,Early Literacy+,Picture Naming,Fall Screening,EarlyLiteracy+_PictureNaming,46,Tier II/III,9/19/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298307,Early Literacy+,Picture Naming,Fall Screening,EarlyLiteracy+_PictureNaming,49,Cut Range,9/22/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298308,Early Literacy+,Picture Naming,Fall Screening,EarlyLiteracy+_PictureNaming,47,Cut Range,10/4/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298309,Early Literacy+,Picture Naming,Fall Screening,EarlyLiteracy+_PictureNaming,47,Cut Range,9/21/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298310,Early Literacy+,Picture Naming,Fall Screening,EarlyLiteracy+_PictureNaming,51,Tier I,9/21/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298311,Early Literacy+,Picture Naming,Fall Screening,EarlyLiteracy+_PictureNaming,48,Cut Range,9/19/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298312,Early Literacy+,Picture Naming,Fall Screening,EarlyLiteracy+_PictureNaming,53,Tier I,9/19/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298313,Early Literacy+,Picture Naming,Fall Screening,EarlyLiteracy+_PictureNaming,50,Tier I,9/20/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298314,Early Literacy+,Picture Naming,Fall Screening,EarlyLiteracy+_PictureNaming,40,Tier II/III,9/21/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298315,Early Literacy+,Picture Naming,Fall Screening,EarlyLiteracy+_PictureNaming,48,Cut Range,9/22/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298316,Early Literacy+,Picture Naming,Fall Screening,EarlyLiteracy+_PictureNaming,47,Cut Range,9/19/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298317,Early Literacy+,Picture Naming,Fall Screening,EarlyLiteracy+_PictureNaming,47,Cut Range,9/21/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298318,Early Literacy+,Picture Naming,Fall Screening,EarlyLiteracy+_PictureNaming,47,Cut Range,9/20/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School A,Sample Teacher Name A,2499,3940298319,Early Literacy+,Picture Naming,Fall Screening,EarlyLiteracy+_PictureNaming,47,Cut Range,9/20/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298320,Early Literacy+,Picture Naming,Fall Screening,EarlyLiteracy+_PictureNaming,47,Cut Range,8/22/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298321,Early Literacy+,Picture Naming,Fall Screening,EarlyLiteracy+_PictureNaming,47,Cut Range,8/24/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298322,Early Literacy+,Picture Naming,Fall Screening,EarlyLiteracy+_PictureNaming,51,Tier I,8/22/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298323,Early Literacy+,Picture Naming,Fall Screening,EarlyLiteracy+_PictureNaming,49,Cut Range,8/22/2022
2022-2023,South Carolina - Department of Education,Sample District Name,Sample Elementary School B,Sample Teacher Name B,2499,3940298324,Early Literacy+,Picture Naming,Fall Screening,EarlyLiteracy+_PictureNaming,46,Tier II/III,8/23/2022
