assessmentIdentifier,edfi_descriptor
myIGDIs_EarlyLiteracy+_Alliteration,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
myIGDIs_EarlyLiteracy+_PictureNaming,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
myIGDIs_EarlyLiteracy+_Rhyming,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
myIGDIs_EarlyLiteracy+_SoundID,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
myIGDIs_EarlyLiteracy+_WODB,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
myIGDIs_EarlyNumeracy_1-to-1CorrespondenceCounting,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
myIGDIs_EarlyNumeracy_NumberNaming,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
myIGDIs_EarlyNumeracy_OralCounting,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
myIGDIs_EarlyNumeracy_QuantityComparison,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
myIGDIs_Español_ExpressiveVerbs/VerbosExpressivos,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
myIGDIs_Español_FirstSounds/PrimerosSonidos,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
myIGDIs_Español_LetterID/Identificacióndelasletras,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
myIGDIs_Español_PictureNaming/DenominaciondelosDibujos,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
myIGDIs_Español_SoundID/Identificacióndelossonidos,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
myIGDIs_ProLADR_ApproachestoLearning,uri://ed-fi.org/AcademicSubjectDescriptor#Other
myIGDIs_ProLADR_Cognitive,uri://ed-fi.org/AcademicSubjectDescriptor#Other
myIGDIs_ProLADR_CreativityandtheArts,uri://ed-fi.org/AcademicSubjectDescriptor#Other
myIGDIs_ProLADR_LanguageandLiteracy,uri://ed-fi.org/AcademicSubjectDescriptor#Other
myIGDIs_ProLADR_PhysicalandMotor,uri://ed-fi.org/AcademicSubjectDescriptor#Other
myIGDIs_ProLADR_SocialandEmotional,uri://ed-fi.org/AcademicSubjectDescriptor#Other
