assessmentIdentifier,codeValue,description,namespace,shortDescription
myIGDIs_EarlyLiteracy+_Alliteration,Readiness,Assessment designed to measure readiness for a particular grade or subject.,uri://renaissance.com/products/myigdis-for-preschool/AssessmentCategoryDescriptor,Readiness
myIGDIs_EarlyLiteracy+_PictureNaming,Readiness,Assessment designed to measure readiness for a particular grade or subject.,uri://renaissance.com/products/myigdis-for-preschool/AssessmentCategoryDescriptor,Readiness
myIGDIs_EarlyLiteracy+_Rhyming,Readiness,Assessment designed to measure readiness for a particular grade or subject.,uri://renaissance.com/products/myigdis-for-preschool/AssessmentCategoryDescriptor,Readiness
myIGDIs_EarlyLiteracy+_SoundID,Readiness,Assessment designed to measure readiness for a particular grade or subject.,uri://renaissance.com/products/myigdis-for-preschool/AssessmentCategoryDescriptor,Readiness
myIGDIs_EarlyLiteracy+_WODB,Readiness,Assessment designed to measure readiness for a particular grade or subject.,uri://renaissance.com/products/myigdis-for-preschool/AssessmentCategoryDescriptor,Readiness
myIGDIs_EarlyNumeracy_1-to-1CorrespondenceCounting,Readiness,Assessment designed to measure readiness for a particular grade or subject.,uri://renaissance.com/products/myigdis-for-preschool/AssessmentCategoryDescriptor,Readiness
myIGDIs_EarlyNumeracy_NumberNaming,Readiness,Assessment designed to measure readiness for a particular grade or subject.,uri://renaissance.com/products/myigdis-for-preschool/AssessmentCategoryDescriptor,Readiness
myIGDIs_EarlyNumeracy_OralCounting,Readiness,Assessment designed to measure readiness for a particular grade or subject.,uri://renaissance.com/products/myigdis-for-preschool/AssessmentCategoryDescriptor,Readiness
myIGDIs_EarlyNumeracy_QuantityComparison,Readiness,Assessment designed to measure readiness for a particular grade or subject.,uri://renaissance.com/products/myigdis-for-preschool/AssessmentCategoryDescriptor,Readiness
myIGDIs_Español_ExpressiveVerbs/VerbosExpressivos,Readiness,Assessment designed to measure readiness for a particular grade or subject.,uri://renaissance.com/products/myigdis-for-preschool/AssessmentCategoryDescriptor,Readiness
myIGDIs_Español_FirstSounds/PrimerosSonidos,Readiness,Assessment designed to measure readiness for a particular grade or subject.,uri://renaissance.com/products/myigdis-for-preschool/AssessmentCategoryDescriptor,Readiness
myIGDIs_Español_LetterID/Identificacióndelasletras,Readiness,Assessment designed to measure readiness for a particular grade or subject.,uri://renaissance.com/products/myigdis-for-preschool/AssessmentCategoryDescriptor,Readiness
myIGDIs_Español_PictureNaming/DenominaciondelosDibujos,Readiness,Assessment designed to measure readiness for a particular grade or subject.,uri://renaissance.com/products/myigdis-for-preschool/AssessmentCategoryDescriptor,Readiness
myIGDIs_Español_SoundID/Identificacióndelossonidos,Readiness,Assessment designed to measure readiness for a particular grade or subject.,uri://renaissance.com/products/myigdis-for-preschool/AssessmentCategoryDescriptor,Readiness
myIGDIs_ProLADR_ApproachestoLearning,Readiness,Assessment designed to measure readiness for a particular grade or subject.,uri://renaissance.com/products/myigdis-for-preschool/AssessmentCategoryDescriptor,Readiness
myIGDIs_ProLADR_Cognitive,Readiness,Assessment designed to measure readiness for a particular grade or subject.,uri://renaissance.com/products/myigdis-for-preschool/AssessmentCategoryDescriptor,Readiness
myIGDIs_ProLADR_CreativityandtheArts,Readiness,Assessment designed to measure readiness for a particular grade or subject.,uri://renaissance.com/products/myigdis-for-preschool/AssessmentCategoryDescriptor,Readiness
myIGDIs_ProLADR_LanguageandLiteracy,Readiness,Assessment designed to measure readiness for a particular grade or subject.,uri://renaissance.com/products/myigdis-for-preschool/AssessmentCategoryDescriptor,Readiness
myIGDIs_ProLADR_PhysicalandMotor,Readiness,Assessment designed to measure readiness for a particular grade or subject.,uri://renaissance.com/products/myigdis-for-preschool/AssessmentCategoryDescriptor,Readiness
myIGDIs_ProLADR_SocialandEmotional,Readiness,Assessment designed to measure readiness for a particular grade or subject.,uri://renaissance.com/products/myigdis-for-preschool/AssessmentCategoryDescriptor,Readiness
