codeValue,description,namespace,shortDescription
Fall1,Fall 1 Assessment Period,uri://renaissance.com/products/myigdis-for-preschool/AssessmentPeriodDescriptor,Fall 1
Fall2,Fall 2 Assessment Period,uri://renaissance.com/products/myigdis-for-preschool/AssessmentPeriodDescriptor,Fall 2
Fall3,Fall 3 Assessment Period,uri://renaissance.com/products/myigdis-for-preschool/AssessmentPeriodDescriptor,Fall 3
Fall4,Fall 4 Assessment Period,uri://renaissance.com/products/myigdis-for-preschool/AssessmentPeriodDescriptor,Fall 4
FallScreening,Fall Screening Assessment Period,uri://renaissance.com/products/myigdis-for-preschool/AssessmentPeriodDescriptor,Fall Screening
Winter1,Winter 1 Assessment Period,uri://renaissance.com/products/myigdis-for-preschool/AssessmentPeriodDescriptor,Winter 1
Winter2,Winter 2 Assessment Period,uri://renaissance.com/products/myigdis-for-preschool/AssessmentPeriodDescriptor,Winter 2
Winter3,Winter 3 Assessment Period,uri://renaissance.com/products/myigdis-for-preschool/AssessmentPeriodDescriptor,Winter 3
Winter4,Winter 4 Assessment Period,uri://renaissance.com/products/myigdis-for-preschool/AssessmentPeriodDescriptor,Winter 4
WinterScreening,Winter Screening Assessment Period,uri://renaissance.com/products/myigdis-for-preschool/AssessmentPeriodDescriptor,Winter Screening
Spring1,Spring 1 Assessment Period,uri://renaissance.com/products/myigdis-for-preschool/AssessmentPeriodDescriptor,Spring 1
Spring2,Spring 2 Assessment Period,uri://renaissance.com/products/myigdis-for-preschool/AssessmentPeriodDescriptor,Spring 2
Spring3,Spring 3 Assessment Period,uri://renaissance.com/products/myigdis-for-preschool/AssessmentPeriodDescriptor,Spring 3
Spring4,Spring 4 Assessment Period,uri://renaissance.com/products/myigdis-for-preschool/AssessmentPeriodDescriptor,Spring 4
SpringScreening,Spring Screening Assessment Period,uri://renaissance.com/products/myigdis-for-preschool/AssessmentPeriodDescriptor,Spring Screening
Summer1,Summer 1 Assessment Period,uri://renaissance.com/products/myigdis-for-preschool/AssessmentPeriodDescriptor,Summer 1
Summer2,Summer 2 Assessment Period,uri://renaissance.com/products/myigdis-for-preschool/AssessmentPeriodDescriptor,Summer 2
Summer3,Summer 3 Assessment Period,uri://renaissance.com/products/myigdis-for-preschool/AssessmentPeriodDescriptor,Summer 3
Summer4,Summer 4 Assessment Period,uri://renaissance.com/products/myigdis-for-preschool/AssessmentPeriodDescriptor,Summer 4
SummerScreening,Summer Screening Assessment Period,uri://renaissance.com/products/myigdis-for-preschool/AssessmentPeriodDescriptor,Summer Screening
