measure,season,codeValue,description,namespace,shortDescription,minimumScore,maximumScore
Picture Naming,Fall,Tier II/III Cut,A student is in Tier II/III for Picture Naming in Fall.,uri://ed.sc.gov/KRA/performanceLevelDescriptor,Tier II/III Cut,0,46
Picture Naming,Fall,Tier I,A student is in Tier I for Picture Naming in Fall.,uri://ed.sc.gov/KRA/performanceLevelDescriptor,Tier I,47,50
Picture Naming,Fall,Above Tier I,A student is above Tier I for Picture Naming in Fall.,uri://ed.sc.gov/KRA/performanceLevelDescriptor,Above Tier I,51,100
Picture Naming,Winter,Tier II/III Cut,A student is in Tier II/III for Picture Naming in Winter.,uri://ed.sc.gov/KRA/performanceLevelDescriptor,Tier II/III Cut,0,46
Picture Naming,Winter,Tier I,A student is in Tier I for Picture Naming in Winter.,uri://ed.sc.gov/KRA/performanceLevelDescriptor,Tier I,47,50
Picture Naming,Winter,Above Tier I,A student is above Tier I for Picture Naming in Winter.,uri://ed.sc.gov/KRA/performanceLevelDescriptor,Above Tier I,51,100
Picture Naming,Spring,Tier II/III Cut,A student is in Tier II/III for Picture Naming in Spring.,uri://ed.sc.gov/KRA/performanceLevelDescriptor,Tier II/III Cut,0,46
Picture Naming,Spring,Tier I,A student is in Tier I for Picture Naming in Spring.,uri://ed.sc.gov/KRA/performanceLevelDescriptor,Tier I,47,50
Picture Naming,Spring,Above Tier I,A student is above Tier I for Picture Naming in Spring.,uri://ed.sc.gov/KRA/performanceLevelDescriptor,Above Tier I,51,100
Rhyming,Fall,Tier II/III Cut,A student is in Tier II/III for Rhyming in Fall.,uri://ed.sc.gov/KRA/performanceLevelDescriptor,Tier II/III Cut,0,44
Rhyming,Fall,Tier I,A student is in Tier I for Rhyming in Fall.,uri://ed.sc.gov/KRA/performanceLevelDescriptor,Tier I,45,48
Rhyming,Fall,Above Tier I,A student is above Tier I for Rhyming in Fall.,uri://ed.sc.gov/KRA/performanceLevelDescriptor,Above Tier I,49,100
Rhyming,Winter,Tier II/III Cut,A student is in Tier II/III for Rhyming in Winter.,uri://ed.sc.gov/KRA/performanceLevelDescriptor,Tier II/III Cut,0,45
Rhyming,Winter,Tier I,A student is in Tier I for Rhyming in Winter.,uri://ed.sc.gov/KRA/performanceLevelDescriptor,Tier I,46,49
Rhyming,Winter,Above Tier I,A student is above Tier I for Rhyming in Winter.,uri://ed.sc.gov/KRA/performanceLevelDescriptor,Above Tier I,50,100
Rhyming,Spring,Tier II/III Cut,A student is in Tier II/III for Rhyming in Spring.,uri://ed.sc.gov/KRA/performanceLevelDescriptor,Tier II/III Cut,0,46
Rhyming,Spring,Tier I,A student is in Tier I for Rhyming in Spring.,uri://ed.sc.gov/KRA/performanceLevelDescriptor,Tier I,47,51
