Program Name,Program ID,Program Type,Accreditation Status,Grade
Mathematics_8-12,1111,Post-Bacc (Grades 08-12),1
English Language Arts and Reading_8-12,1222,Post-Bacc (Grades 07-12),1
Science_4-8,3222,Post-Bacc (Grades 04-08),1
Early Childhood_-1-3,4333,Post-Bacc (Grades PK4-03),5
Music_-1-12,1122,Alternative (Grades PK4-12),2
testMathematics_8-12,1111,Post-Bacc (Grades 08-12),1
testEnglish Language Arts and Reading_8-12,1222,Post-Bacc (Grades 07-12),1
testScience_4-8,3222,Post-Bacc (Grades 04-08),1
testEarly Childhood_-1-3,4333,Post-Bacc (Grades PK4-03),5
testMusic_-1-12,1122,Alternative (Grades PK4-12),2
