ipeds_code,localeDescriptor
11,uri://ed-fi.org/LocaleDescriptor#City-Large
12,uri://ed-fi.org/LocaleDescriptor#City-Midsize
13,uri://ed-fi.org/LocaleDescriptor#City-Small
21,uri://ed-fi.org/LocaleDescriptor#Suburban-Large
22,uri://ed-fi.org/LocaleDescriptor#Suburban-Midsize
23,uri://ed-fi.org/LocaleDescriptor#Suburban-Small
31,uri://ed-fi.org/LocaleDescriptor#Town-Fringe
32,uri://ed-fi.org/LocaleDescriptor#Town-Distant
33,uri://ed-fi.org/LocaleDescriptor#Town-Remote
41,uri://ed-fi.org/LocaleDescriptor#Rural-Fringe
42,uri://ed-fi.org/LocaleDescriptor#Rural-Distant
43,uri://ed-fi.org/LocaleDescriptor#Rural-Remote
