descriptor,namespace,codevalue,shortdescription,description,effectivebegindate,effectiveenddate,date submitted to EA,notes
disabilityDescriptors,uri://sedm.edfacts.gov/DisabilityDescriptor,AUT,Autism Spectrum Disorder,Autism Spectrum Disorder,11/1/2025,,,
disabilityDescriptors,uri://sedm.edfacts.gov/DisabilityDescriptor,HI,Deaf/Hard of Hearing,Deaf/Hard of Hearing,11/1/2025,,,
disabilityDescriptors,uri://sedm.edfacts.gov/DisabilityDescriptor,DB,Deaf-Blindness,Deaf-Blindness,11/1/2025,,,
disabilityDescriptors,uri://sedm.edfacts.gov/DisabilityDescriptor,DD,Developmental Delay,Developmental Delay,11/1/2025,,,
disabilityDescriptors,uri://sedm.edfacts.gov/DisabilityDescriptor,EMN,Emotional Disability,Emotional Disability,11/1/2025,,,
disabilityDescriptors,uri://sedm.edfacts.gov/DisabilityDescriptor,ID,Intellectual Disability,Intellectual Disability,11/1/2025,,,
disabilityDescriptors,uri://sedm.edfacts.gov/DisabilityDescriptor,MD,Multiple Disabilities,Multiple Disabilities,11/1/2025,,,
disabilityDescriptors,uri://sedm.edfacts.gov/DisabilityDescriptor,OI,Orthopedic Impairment,Orthopedic Impairment,11/1/2025,,,
disabilityDescriptors,uri://sedm.edfacts.gov/DisabilityDescriptor,OHI,Other Health Impairment,Other Health Impairment,11/1/2025,,,
disabilityDescriptors,uri://sedm.edfacts.gov/DisabilityDescriptor,SLD,Specific Learning Disability,Specific Learning Disability,11/1/2025,,,
disabilityDescriptors,uri://sedm.edfacts.gov/DisabilityDescriptor,SLI,Speech-Language Impairment,Speech-Language Impairment,11/1/2025,,,
disabilityDescriptors,uri://sedm.edfacts.gov/DisabilityDescriptor,TBI,Traumatic Brain Injury,Traumatic Brain Injury,11/1/2025,,,
disabilityDescriptors,uri://sedm.edfacts.gov/DisabilityDescriptor,VI,Visual Impairment,Visual Impairment,11/1/2025,,,
