descriptor,namespace,codevalue,shortdescription,description,effectivebegindate,effectiveenddate,date submitted to EA,notes
ideaEventDescriptors,uri://sedm.sc.gov/IdeaEventDescriptor,COSF - Entry,COSF - Entry,COSF - Entry,11/1/2025,,,
ideaEventDescriptors,uri://sedm.sc.gov/IdeaEventDescriptor,COSF - Exit,COSF - Exit,COSF - Exit,11/1/2025,,,
ideaEventDescriptors,uri://sedm.sc.gov/IdeaEventDescriptor,Eligibility Determination,Eligibility Determination,Eligibility Determination,11/1/2025,,,
ideaEventDescriptors,uri://sedm.sc.gov/IdeaEventDescriptor,Evaluation,Evaluation,Evaluation,11/1/2025,,,
ideaEventDescriptors,uri://sedm.sc.gov/IdeaEventDescriptor,Exit School System,Exit School System,Exit School System,11/1/2025,,,
ideaEventDescriptors,uri://sedm.sc.gov/IdeaEventDescriptor,Grade Change,Grade Change,Grade Change,11/1/2025,,,
ideaEventDescriptors,uri://sedm.sc.gov/IdeaEventDescriptor,IEP,IEP,IEP,11/1/2025,,,
ideaEventDescriptors,uri://sedm.sc.gov/IdeaEventDescriptor,IEP Amendment,IEP Amendment,IEP Amendment,11/1/2025,,,
ideaEventDescriptors,uri://sedm.sc.gov/IdeaEventDescriptor,Non-Eligibility Determination,Non-Eligibility Determination,Non-Eligibility Determination,11/1/2025,,,
ideaEventDescriptors,uri://sedm.sc.gov/IdeaEventDescriptor,Parent Consent,Parent Consent,Parent Consent,11/1/2025,,,
ideaEventDescriptors,uri://sedm.sc.gov/IdeaEventDescriptor,Parent Consent Denial,Parent Consent Denial,Parent Consent Denial,11/1/2025,,,
ideaEventDescriptors,uri://sedm.sc.gov/IdeaEventDescriptor,Parent Consent to Reevaluate,Parent Consent to Reevaluate,Parent Consent to Reevaluate,11/1/2025,,,
ideaEventDescriptors,uri://sedm.sc.gov/IdeaEventDescriptor,Parent Consent to Reevaluate Denial,Parent Consent to Reevaluate Denial,Parent Consent to Reevaluate Denial,11/1/2025,,,
ideaEventDescriptors,uri://sedm.sc.gov/IdeaEventDescriptor,Parental Revocation of Services,Parental Revocation of Services,Parental Revocation of Services,11/1/2025,,,
ideaEventDescriptors,uri://sedm.sc.gov/IdeaEventDescriptor,Provision of Services Parental Consent,Provision of Services Parental Consent,Provision of Services Parental Consent,11/1/2025,,,
ideaEventDescriptors,uri://sedm.sc.gov/IdeaEventDescriptor,Provision of Services Parental Consent Denial,Provision of Services Parental Consent Denial,Provision of Services Parental Consent Denial,11/1/2025,,,
ideaEventDescriptors,uri://sedm.sc.gov/IdeaEventDescriptor,Re-enter School System,Re-enter School System,Re-enter School System,11/1/2025,,,
ideaEventDescriptors,uri://sedm.sc.gov/IdeaEventDescriptor,Referral,Referral,Referral,11/1/2025,,,
ideaEventDescriptors,uri://sedm.sc.gov/IdeaEventDescriptor,Referral Discontinuation,Referral Discontinuation,Referral Discontinuation,11/1/2025,,,
ideaEventDescriptors,uri://sedm.sc.gov/IdeaEventDescriptor,Student Enrollment,Student Enrollment,Student Enrollment,11/1/2025,,,
ideaEventDescriptors,uri://sedm.sc.gov/IdeaEventDescriptor,Transfer Student,Transfer Student,Transfer Student,11/1/2025,,,
ideaEventDescriptors,uri://sedm.sc.gov/IdeaEventDescriptor,Manifestation Determination Review,Manifestation Determination Review,Manifestation Determination Review,11/1/2025,,,
