descriptor,namespace,codevalue,shortdescription,description,effectivebegindate,effectiveenddate,date submitted to EA,notes
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Bus/District Transportation,Bus/District Transportation,Bus/District Transportation,11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Special Education Therapy Room (Small Group),Special Education Therapy Room (Small Group),Special Education Therapy Room (Small Group),11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Special Education Classroom,Special Education Classroom,Special Education Classroom,11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,School Environment,School Environment,School Environment,11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,General Education Classroom,General Education Classroom,General Education Classroom,11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,General Education Classroom (Virtual),General Education Classroom (Virtual),General Education Classroom (Virtual),11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Special Education (Home),Special Education (Home),Special Education (Home),11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Special Education Classroom (Virtual),Special Education Classroom (Virtual),Special Education Classroom (Virtual),11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,School Counselor's Office,School Counselor's Office,School Counselor's Office,11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Special Education Therapy Room (Individual),Special Education Therapy Room (Individual),Special Education Therapy Room (Individual),11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Special Education Teletherapy(Small Group Virt),Special Education Teletherapy (Small Group Virtual),Special Education Teletherapy (Small Group Virtual),11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Nurse's Office,Nurse's Office,Nurse's Office,11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Special Education Teletherapy (Individual Virtual),Special Education Teletherapy (Individual Virtual),Special Education Teletherapy (Individual Virtual),11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Community,Community,Community,11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Special Education School Counselor's Office,Special Education School Counselor's Office,Special Education School Counselor's Office,11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,General Education Cafeteria,General Education Cafeteria,General Education Cafeteria,11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Home,Home,Home,11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Special Education Support Room,Special Education Support Room,Special Education Support Room,11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Special Education Community,Special Education Community,Special Education Community,11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Special Education Nurse's Office,Special Education Nurse's Office,Special Education Nurse's Office,11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Special Education Hospital/Medical Homebound,Special Education Hospital/Medical Homebound,Special Education Hospital/Medical Homebound,11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Occupational Therapy Room (Individual),Occupational Therapy Room (Individual),Occupational Therapy Room (Individual),11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Physical Therapy Room (Individual),Physical Therapy Room (Individual),Physical Therapy Room (Individual),11/1/2025,,,
serviceLocationTypeDescriptors,uri://sedm.sc.gov/ServiceLocationTypeDescriptor,Speech Therapy Room (Small Group),Speech Therapy Room (Small Group),Speech Therapy Room (Small Group),11/1/2025,,,
