from,to
Inside regular class 80% or more of the day,1
Inside regular class 40% through 79% of the day,2
Inside regular class less than 40% of the day,3
Residential Facility,6
Homebound/Hospital,8
Homebound/Hospital – Medical Homebound,8a
Homebound/Hospital – Hospital,8b
Homebound/Hospital – Home-based,8c
Correctional Facilities,16
Parentally placed in private schools,17
Separate School,13
Services in Regular Early Childhood Program (at least 10 hours),9
Other Location Regular Early Childhood Program (at least 10 hours),10
Services in Regular Early Childhood Program (less than 10 hours),11
Other Location Regular Early Childhood Program (less than 10 hours),12
Separate Class,4
Separate School,5
Residential Facility,14
Home,7
Service Provider Location,15
