descriptor,namespace,codevalue,shortdescription,description,effectivebegindate,effectiveenddate,date submitted to EA,notes
specialEducationSettingDescriptors,uri://sedm.sc.gov/SpecialEducationSettingDescriptor,1,Inside regular class 80% or more of the day,Inside regular class 80% or more of the day,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.sc.gov/SpecialEducationSettingDescriptor,2,Inside regular class 40% through 79% of the day,Inside regular class 40% through 79% of the day,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.sc.gov/SpecialEducationSettingDescriptor,3,Inside regular class less than 40% of the day,Inside regular class less than 40% of the day,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.sc.gov/SpecialEducationSettingDescriptor,6,Residential Facility,Residential Facility,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.sc.gov/SpecialEducationSettingDescriptor,8,Homebound/Hospital,Homebound/Hospital,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.sc.gov/SpecialEducationSettingDescriptor,8a,Homebound/Hospital Medical Homebound,Homebound/Hospital Medical Homebound,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.sc.gov/SpecialEducationSettingDescriptor,8b,Homebound/Hospital Hospital,Homebound/Hospital Hospital,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.sc.gov/SpecialEducationSettingDescriptor,8c,Homebound/Hospital Home-based,Homebound/Hospital Home-based,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.sc.gov/SpecialEducationSettingDescriptor,16,Correctional Facilities,Correctional Facilities,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.sc.gov/SpecialEducationSettingDescriptor,17,Parentally placed in private schools,Parentally placed in private schools,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.sc.gov/SpecialEducationSettingDescriptor,13,Separate School,Separate School,11/1/2025,,,
specialEducationSettingDescriptors,uri://sedm.sc.gov/SpecialEducationSettingDescriptor,9,Services in Regular Early Childhood Program (at least 10 hours),Services in Regular Early Childhood Program (at least 10 hours),11/1/2025,,,
