UNITID,INSTNM,IALIAS,ADDR,CITY,STABBR,ZIP,FIPS,OBEREG,CHFNM,CHFTITLE,GENTELE,EIN,UEIS,OPEID,OPEFLAG,WEBADDR,ADMINURL,FAIDURL,APPLURL,NPRICURL,VETURL,ATHURL,DISAURL,SECTOR,ICLEVEL,CONTROL,HLOFFER,UGOFFER,GROFFER,HDEGOFR1,DEGGRANT,HBCU,HOSPITAL,MEDICAL,TRIBAL,LOCALE,OPENPUBL,ACT,NEWID,DEATHYR,CLOSEDAT,CYACTIVE,POSTSEC,PSEFLAG,PSET4FLG,RPTMTH,INSTCAT,C00CARNEGIE,C21BASIC,CARNEGIEIC,CARNEGIESAEC,CARNEGIERSCH,CARNEGIESIZE,CARNEGIEALF,CARNEGIEAPM,CARNEGIEGPM,LANDGRNT,INSTSIZE,F1SYSTYP,F1SYSNAM,F1SYSCOD,CBSA,CBSATYPE,CSA,COUNTYCD,COUNTYNM,CNGDSTCD,LONGITUD,LATITUDE,DFRCGID,DFRCUSCG
100654,Alabama A & M University,AAMU,4900 Meridian Street,Normal,AL,35762,1,5,Dr. Daniel K. Wims,President,2563725000,636001097,JDVGS67MSLH7,00100200,1,www.aamu.edu/,https://www.aamu.edu/admissions-aid/index.html,https://www.aamu.edu/admissions-aid/financial-aid/,https://www.aamu.edu/admissions-aid/undergraduate-admissions/apply-today.html,www.aamu.edu/admissions-aid/tuition-fees/net-price-calculator.html,,,https://www.aamu.edu/administrativeoffices/VADS/Pages/Disability-Services.aspx,1,1,1,9,1,1,12,1,1,2,2,2,12,1,A,-2,-2,-2,1,1,1,1,1,2,16,18,9,4,3,3,4,1,2,1,3,2,-2,-2,26620,1,290,1089,Madison County,105,-86.568502,34.783368,106,1
100663,University of Alabama at Birmingham,UAB,Administration Bldg Suite 1070,Birmingham,AL,35294-0110,1,5,Ray L. Watts,President,2059344011,636005396,YND4PLMC9AN7,00105200,1,https://www.uab.edu/,https://www.uab.edu/admissions/,https://www.uab.edu/cost-aid/,https://www.uab.edu/admissions/apply,https://tcc.ruffalonl.com/University of Alabama at Birmingham/Freshman-Students,https://www.uab.edu/students/veterans,https://www.uab.edu/registrar/students,https://www.uab.edu/students/disability/,1,1,1,9,1,1,11,1,2,1,1,2,12,1,A,-2,-2,-2,1,1,1,1,1,2,15,15,16,4,1,4,5,2,8,2,5,1,The University of Alabama System,101050,13820,1,142,1073,Jefferson County,107,-86.799345,33.505697,91,1
100690,Amridge University,Southern Christian University  Regions University,1200 Taylor Rd,Montgomery,AL,36117-3553,1,5,Michael C.Turner,President,33438738777550,237034324,RB27R4GLDKE7,02503400,1,https://www.amridgeuniversity.edu/,https://www.amridgeuniversity.edu/admissions/,https://www.amridgeuniversity.edu/financialaid/,https://www.amridgeuniversity.edu/myamridge/,https://www2.amridgeuniversity.edu:9091/,https://www.amridgeuniversity.edu/admissions/military/,,https://www.amridgeuniversity.edu/studentservices/,2,1,2,9,1,1,12,1,2,2,2,2,12,1,A,-2,-2,-2,1,1,1,1,1,2,51,20,25,-2,-2,2,6,1,2,2,1,2,-2,-2,33860,1,388,1101,Montgomery County,102,-86.174010,32.362609,125,2
100706,University of Alabama in Huntsville,UAH  University of Alabama Huntsville,301 Sparkman Dr,Huntsville,AL,35899,1,5,Chuck Karr,President,2568246120,630520830,HB6KNGVNJRU1,00105500,1,www.uah.edu/,https://www.uah.edu/admissions,finaid.uah.edu/,www.uah.edu/admissions/undergraduate/apply-for-admission,uah.clearcostcalculator.com/student/default/netpricecalculator/survey,www.uah.edu/admissions/graduate/financial-aid/veterans,www.uah.edu/heoa,www.uah.edu/health-and-wellness/disability-support,1,1,1,9,1,1,11,1,2,2,2,2,12,1,A,-2,-2,-2,1,1,1,1,1,2,16,15,7,5,2,3,5,1,2,2,3,1,The University of Alabama System,101050,26620,1,290,1089,Madison County,105,-86.640449,34.724557,91,2
100724,Alabama State University,,915 S Jackson Street,Montgomery,AL,36104-0271,1,5,Quinton T. Ross,President,3342294100,636001101,DLJWLMSNK627,00100500,1,www.alasu.edu/,www.alasu.edu/admissions/index.aspx,www.alasu.edu/_qa/financial-aid.php,www.alasu.edu/admissions/undergrad-admissions/index.aspx,tcc.ruffalonl.com/Alabama State University/Freshman-Students,,https://www.alasu.edu/_qa/institutional-data.php,www.alasu.edu/_qa/office-disability-services.php,1,1,1,9,1,1,11,1,1,2,2,2,12,1,A,-2,-2,-2,1,1,1,1,1,2,21,17,22,4,3,3,3,4,2,2,2,2,-2,-2,33860,1,388,1101,Montgomery County,102,-86.295677,32.364317,97,1
100733,University of Alabama System Office,,500 University Blvd. East,Tuscaloosa,AL,35401,1,5,Sid Trant,Interim Chancellor,2053485122,636001138,,00800400,2,www.uasystem.edu/,,,,,,,www.uasystem.edu/,0,1,1,9,1,1,11,1,2,-2,-2,2,12,1,A,-2,-2,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,1,The University of Alabama System,101050,46220,1,-2,1125,Tuscaloosa County,107,-87.529594,33.207015,-2,-2
100751,The University of Alabama,,739 University Blvd,Tuscaloosa,AL,35487-0100,1,5,Dr. Stuart R. Bell,President,2053486010,636001138,RCNJEHZ83EV6,00105100,1,www.ua.edu/,gobama.ua.edu/,financialaid.ua.edu/,apply.ua.edu/,ua.aidcalc.cloud/netprice.htm,https://vets.sa.ua.edu/,registrar.ua.edu/academics-policies/student-right-to-know/,ods.ua.edu/,1,1,1,9,1,1,11,1,2,2,2,2,12,1,A,-2,-2,-2,1,1,1,1,1,2,15,15,16,5,1,5,5,2,2,2,5,1,The University of Alabama System,101050,46220,1,-2,1125,Tuscaloosa County,107,-87.545978,33.211875,90,1
100760,Central Alabama Community College,,1675 Cherokee Rd,Alexander City,AL,35010,1,5,Jeff Lynn,President,2562346346,631022757,G1C3X4MHV2N1,00100700,1,www.cacc.edu/,https://www.cacc.edu/admissions/,https://www.cacc.edu/financial-aid/,https://www.cacc.edu/admissions/apply/,https://www.cacc.edu/net-price-calculator/,https://www.cacc.edu/financial-aid/veterans/,https://www.cacc.edu/about/consumer-information/,https://www.cacc.edu/services/other-services/disability-services/,4,2,1,3,1,2,40,1,2,-2,2,2,32,1,A,-2,-2,-2,1,1,1,1,1,4,40,5,3,4,-2,2,1,1,-2,2,2,1,Alabama Community College System,101030,10760,2,194,1123,Tallapoosa County,103,-85.945266,32.924780,72,2
100812,Athens State University,,300 N Beaty St,Athens,AL,35611,1,5,Dr. Catherine Wehlburg,President,2562338100,630701340,GFZJMKWMF9K7,00100800,1,https://www.athens.edu/,https://www.athens.edu/admissions/,https://www.athens.edu/admissions/financial-aid,https://beartracks.athens.edu/,,,,https://www.athens.edu/resources/accessibility-services,1,1,1,7,1,1,20,1,2,2,2,2,31,1,A,-2,-2,-2,1,1,1,1,1,2,32,22,15,-2,-2,2,3,2,6,2,2,2,-2,-2,26620,1,290,1083,Limestone County,105,-86.964698,34.806793,134,1
100830,Auburn University at Montgomery,AUM||Auburn University at Montgomery|Auburn Montgomery,7440 East Drive,Montgomery,AL,36117-3596,1,5,Carl A. Stockton,Chancellor,3342443000,636000724,S2Y7SMVZ1R96,00831000,1,www.aum.edu/,www.aum.edu/admissions,www.aum.edu/admissions/scholarships-and-financial-aid/financial-aid,www.aum.edu/apply#apply-now-back-btn-row,www.aum.edu/net-price-calculator,www.aum.edu/admissions/military/veteran-military-resource-center/,www.aum.edu/institutional-effectiveness/consumer-information/,aum.edu/center-for-disability-services,1,1,1,9,1,1,11,1,2,2,2,2,12,1,A,-2,-2,-2,1,1,1,1,1,2,21,18,9,4,-2,3,4,1,2,2,3,1,Auburn University,101040,33860,1,388,1101,Montgomery County,102,-86.177544,32.367360,106,1
100858,Auburn University,,,Auburn,AL,36849,1,5,Chris Roberts,President,3348444000,636000724,DMQNDJDHTDG4,00100900,1,www.auburn.edu/,www.auburn.edu/admissions/,https://www.auburn.edu/enrollment/financial-aid/index.php,www.auburn.edu/admissions/,https://www.auburn.edu/admissions/costcalc/index.php,veterans.auburn.edu/,https://auburn.edu/administration/ir/factbook/retention-performance/athlete-graduation-rates.html,https://accessibility.auburn.edu/,1,1,1,9,1,1,11,1,2,2,1,2,13,1,A,-2,-2,-2,1,1,1,1,1,2,15,15,16,5,1,4,5,2,2,1,5,1,Auburn University,101040,12220,1,194,1081,Lee County,103,-85.488258,32.599378,90,1
100937,Birmingham-Southern College,BSC,900 Arkadelphia Road,Birmingham,AL,35254,1,5,Mr. Daniel Coleman,President,2052264600,630708730,L9NKL7V8CKY5,00101200,5,www.bsc.edu/,www.bsc.edu/admission/index.html,https://www.bsc.edu/fp/index.html,https://www.bsc.edu/admission/apply.html,www.bsc.edu/fp/np-calculator.cfm,https://www.bsc.edu/fp/veterans.html,https://www.bsc.edu/ire/student-consumer-information.html,https://www.bsc.edu/campus/accomodations/index.html,2,1,2,7,1,1,20,1,2,-2,-2,2,12,1,D,-2,2024,07/31/2024,3,1,3,9,-2,-2,31,21,22,5,-2,2,3,4,-2,2,-2,-2,-2,-2,13820,1,142,1073,Jefferson County,107,-86.850552,33.513774,-2,-2
101028,Chattahoochee Valley Community College,CVCC,2602 College Drive,Phenix City,AL,36869,1,5,Jacqueline Screws,President,3342914900,630657380,MEKHN5CB73Z3,01218200,1,https://www.cv.edu/,https://www.cv.edu/apply/,https://www.cv.edu/financial-aid/,https://chattahoocheevalley.force.com/apply/TX_SiteLogin?startURL=%2Fapply%2FTargetX_Portal__PB,https://www.cv.edu/npcalc,https://www.cv.edu/veterans-information/veterans-tuition-assistance/,https://www.cv.edu/consumer-information,https://www.cv.edu/student-resources/ada/,4,2,1,3,1,2,40,1,2,-2,2,2,21,1,A,-2,-2,-2,1,1,1,1,1,4,40,4,3,4,-2,2,1,1,-2,2,2,1,Alabama Community College System,101030,17980,1,194,1113,Russell County,102,-85.031485,32.423910,69,2
101116,South University-Montgomery,,5355 Vaughn Rd,Montgomery,AL,36116,1,5,Kenneth Macon,Campus Director & Dean of Academic Affairs & Ops,3343958800,630314610,YJAHL2YJ7WS1,01303906,1,www.southuniversity.edu/,www.southuniversity.edu/admissions,www.southuniversity.edu/admissions/financial-aid,www.southuniversity.edu/admissions/admission-info/applying,www.southuniversity.edu/montgomery/net-price-calculator,www.southuniversity.edu/Admissions/Military/military-faqs,,catalog.southuniversity.edu/student-support#disability-services-583,3,1,3,9,1,1,13,1,2,2,2,2,12,1,A,-2,-2,-2,1,1,1,1,1,2,40,22,29,4,-2,2,2,10,10,2,1,1,South University - Member LLC,301555,33860,1,388,1101,Montgomery County,102,-86.216488,32.342684,198,1
101143,Enterprise State Community College,Enterprise-Ozark Community College   Enterprise State Junior College,600 Plaza Drive,Enterprise,AL,36330-1300,1,5,Danny Long,President,3343472623,630504851,CDVSG3NKJ1D7,00101500,1,www.escc.edu/,https://www.escc.edu/admissions/,www.escc.edu/admissions/financial-aid/,https://www.escc.edu/admissions/,https://www.escc.edu/netprice/npcalc.htm,https://www.escc.edu/admissions/financial-aid/,www.escc.edu/consumer-information/,www.escc.edu/,4,2,1,3,1,2,40,1,2,-2,2,2,32,1,A,-2,-2,-2,1,1,1,1,1,4,40,2,3,6,-2,2,1,1,-2,2,2,1,Alabama Community College System,101030,21460,2,222,1031,Coffee County,101,-85.836956,31.297496,63,2
101161,Coastal Alabama Community College,,1900 U S Highway 31 South,Bay Minette,AL,36507-2698,1,5,Aaron Milner,President,2515802100,630501805,JK46KBHMQGE5,00106000,1,www.coastalalabama.edu/,www.coastalalabama.edu/apply/,www.coastalalabama.edu/financial_aid/,www.coastalalabama.edu/apply/,www.coastalalabama.edu/about/consumer_information/net_price_calculator/,www.coastalalabama.edu/veterans/,www.coastalalabama.edu/catalog.student-right-to-know,www.coastalalabama.edu/,4,2,1,3,1,2,40,1,2,-2,2,2,32,1,A,-2,-2,-2,1,1,1,1,1,4,40,4,2,4,-2,3,1,1,-2,2,3,1,Alabama Community College System,101030,19300,1,380,1003,Baldwin County,101,-87.778193,30.851343,68,1
101189,Faulkner University,Faulkner,5345 Atlanta Hwy,Montgomery,AL,36109-3390,1,5,Mitch Henry,President,3342725820,630329409,X4N7WEDBEKK4,00100300,1,www.faulkner.edu/,www.faulkner.edu/undergrad/admissions/,www.faulkner.edu/undergrad/tuition-financial-aid/,applynow.myfaulkner.org/inquiryform,www.faulkner.edu/net-price-calculator/,www.faulkner.edu/graduate/military-and-veterans-services-2/,https://www.faulkner.edu/undergrad/tuition-financial-aid/financial-aid-policies/student-rights-and-responsibilities/,https://www.faulkner.edu/undergrad/student-life/living-on-campus/student-services/center-for-disability-services/,2,1,2,9,1,1,11,1,2,2,2,2,12,1,A,-2,-2,-2,1,1,1,1,1,2,32,18,24,6,-2,2,5,6,6,2,2,2,-2,-2,33860,1,388,1101,Montgomery County,102,-86.216410,32.384181,110,2
101240,Gadsden State Community College,GSCC | Gadsden State | Gadsden Community College,1001 George Wallace Dr,Gadsden,AL,35903,1,5,Dr. Kathy L. Murphy,President,2565498200,630501425,MNHFU4MHGLR9,00101700,1,www.gadsdenstate.edu/,www.gadsdenstate.edu/admissions-aid/welcome.cms,www.gadsdenstate.edu/admissions-aid/financial-aid.cms,https://www.gadsdenstate.edu/admissions-aid/apply.cms,www.gadsdenstate.edu/admissions-aid/net-price-calculator.cms,www.gadsdenstate.edu/admissions-aid/veterans-benefits.cms,https://www.gadsdenstate.edu/skins/userfiles/files/Student Right to Know Athletics 2021.pdf,www.gadsdenstate.edu/students/ada.cms,4,2,1,3,1,2,40,1,1,-2,2,2,13,1,A,-2,-2,-2,1,1,1,1,1,4,40,7,11,4,-2,3,1,2,-2,2,3,1,Alabama Community College System,101030,23460,1,-2,1055,Etowah County,103,-85.991438,33.994001,76,2
101277,New Beginning College of Cosmetology,,421 Martling Road,Albertville,AL,35951,1,5,Amanda Baugh,DIRECTOR,2568786430,202711032,,04187200,1,www.nbccosmetology.com/,,,,nbccosmetology.com/wp-content/themes/nbc/nbc_zonemap/,,,www.nbccosmetology.com/,9,3,3,2,1,2,0,2,2,-2,2,2,32,1,A,-2,-2,-2,1,1,1,1,2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,-2,-2,10700,2,290,1095,Marshall County,104,-86.196931,34.278710,38,2
101286,George C Wallace Community College-Dothan,WALLACE DOTHAN|WCCD,1141 Wallace Drive,Dothan,AL,36303-9234,1,5,Linda C Young,President,3349833521,630507618,RSMDGHDC3DC6,00101800,1,www.wallace.edu/,www.wallace.edu/admissions/,www.wallace.edu/financial-aid/,www.wallace.edu/admissions/,www.wallace.edu/npcalc/,www.wallace.edu/veterans-affairs/,www.wallace.edu/about/consumer-information/,www.wallace.edu/campus-life-resources/disability-support-services/,4,2,1,3,1,2,40,1,2,-2,2,2,13,1,A,-2,-2,-2,1,1,1,1,1,4,40,7,11,4,-2,3,1,2,-2,2,2,1,Alabama Community College System,101030,37120,2,222,1045,Dale County,101,-85.465836,31.315274,76,2
101295,George C Wallace State Community College-Hanceville,Wallace State Community College Wallace State - Hanceville,801 Main St NW,Hanceville,AL,35077-2000,1,5,Vicki P. Karolewics,President,2563528000,630498828,WM9JND4S9LC5,00787100,1,https://www.wallacestate.edu/,https://www.wallacestate.edu/admissions/index.html,https://www.wallacestate.edu/financial-aid/index.html,https://www.wallacestate.edu/register-now/index.html,https://www.wallacestate.edu/financial-aid/net-price-calculator.html,https://www.wallacestate.edu/financial-aid/veterans-affairs.html,https://www.wallacestate.edu/consumer-information.html,https://www.wallacestate.edu/non-discrimination/,4,2,1,3,1,2,40,1,2,-2,2,2,42,1,A,-2,-2,-2,1,1,1,1,1,4,40,7,11,4,-2,3,1,2,-2,2,3,1,Alabama Community College System,101030,18980,2,142,1043,Cullman County,104,-86.781935,34.072439,76,2
101301,George C Wallace State Community College-Selma,Wallace Community College Selma,3000 Earl Goodwin Parkway,Selma,AL,36702-2808,1,5,Dr. James M. Mitchell,President,3348769227,630600375,JEYJLCR37MH6,00569900,1,https://www.wccs.edu/,https://www.wccs.edu/admissions/student-admissions,https://www.wccs.edu/financial-aid,https://www.wccs.edu/admissions/admission-application,https://www.wccs.edu/financial-aid/netprice-calculator,https://www.wccs.edu/programs/student-success-coaches/veterans-affairs,,https://www.wccs.edu/about/consumer-student-information,4,2,1,3,1,2,40,1,2,-2,2,2,32,1,A,-2,-2,-2,1,1,1,1,1,4,40,5,3,4,-2,2,1,1,-2,2,2,1,Alabama Community College System,101030,42820,2,388,1047,Dallas County,107,-87.013294,32.445917,71,2
101365,Herzing University-Birmingham,,280 West Valley Ave,Birmingham,AL,35209,1,5,Sarah Higgins,Regional Vice President,2059162800,271503981,JDF5MPY3N5T3,00962107,1,https://www.herzing.edu/,https://www.herzing.edu/,https://www.herzing.edu/,https://www.herzing.edu/,https://www.herzing.edu/tuition-financial-aid/net-price-calculator,https://www.herzing.edu/tuition-financial-aid/types-financial-aid/military-veteran-benefits,,https://www.herzing.edu/services-disabled-students,2,1,2,8,1,1,20,1,2,2,2,2,21,1,A,-2,-2,-2,1,1,1,1,1,3,40,26,28,4,-2,2,2,9,6,2,1,1,"Herzing University, LTD.",200655,13820,1,142,1073,Jefferson County,107,-86.832465,33.468466,159,1
101435,Huntingdon College,,1500 East Fairview Avenue,Montgomery,AL,36106-2148,1,5,Anthony J. Leigh,President,3348334497,630288841,MACKQAP6KNW6,00101900,1,https://www.huntingdon.edu/,https://www.huntingdon.edu/admission-aid/,https://www.huntingdon.edu/admission-aid/student-financial-services/,https://www.huntingdon.edu/admission-aid/traditional-admission/,https://www.huntingdon.edu/admission-aid/student-financial-services/net-price-calculator/,,,https://www.huntingdon.edu/academics/academic-resources/disability-services/,2,1,2,7,1,1,20,1,2,2,2,2,12,1,A,-2,-2,-2,1,1,1,1,1,2,31,22,15,6,-2,2,3,2,10,2,1,2,-2,-2,33860,1,388,1101,Montgomery County,102,-86.284366,32.351034,138,1
101453,Heritage Christian University,,3625 Helton Dr,Florence,AL,35630-9977,1,5,W. Kirk Brothers,President,2567666610,237013287,MYJFHUU6FSH4,02199700,1,www.hcu.edu/,www.hcu.edu/admissions/,www.hcu.edu/admission-aid/financial-aid/,www.hcu.edu/admissions/apply-now/,www.hcu.edu/netpricecalculator/,www.hcu.edu/admissions/financial-aid/veterans/,,www.hcu.edu/consumer-information/,2,1,2,7,1,1,20,1,2,2,2,2,13,1,A,-2,-2,-2,1,1,1,1,1,2,51,24,31,-2,-2,1,3,12,12,2,1,2,-2,-2,22520,1,250,1077,Lauderdale County,104,-87.663051,34.856153,145,1
101462,J. F. Drake State Community and Technical College,Drake State,3421 Meridian St N,Huntsville,AL,35811,1,5,Dr. Patricia Sims,President,2565398161,630439942,Y6RMRVLNFZK1,00526000,1,https://drakestate.edu/,https://drakestate.edu/admissions/,https://drakestate.edu/admissions/financial-aid/,https://drakestate.my.site.com/apply/TX_SiteLogin?startURL=%2Fapply%2FTargetX_Portal__PB,https://drakestate.edu/wp-content/uploads/NetPriceCalculator.html,https://drakestate.edu/student-services/veteran-military-affairs/,,https://drakestate.edu/student-services/disability-support-services/,4,2,1,3,1,2,40,1,1,-2,2,2,12,1,A,-2,-2,-2,1,1,1,1,1,4,40,8,12,2,-2,2,1,2,-2,2,2,1,Alabama Community College System,101030,26620,1,290,1089,Madison County,105,-86.572885,34.771858,81,1
101471,J F Ingram State Technical College,ISTC,5375 Ingram Rd,Deatsville,AL,36022,1,5,Annette Funderburk,President,33428551773249,630506768,,03002500,5,www.istc.edu/,,,,istc.edu/NetPrice/,,,www.istc.edu/,7,3,1,2,1,2,0,2,2,-2,2,2,41,1,A,-2,-2,-2,1,1,1,2,1,6,40,-2,-2,-2,-2,-2,-2,-2,-2,2,1,1,Alabama Community College System,101030,33860,1,388,1051,Elmore County,106,-86.392369,32.582312,-1,-1
101480,Jacksonville State University,,700 Pelham Road North,Jacksonville,AL,36265,1,5,Don Killingsworth,President,2567825781,636001099,D7N5GMCLAMT8,00102000,1,https://www.jsu.edu/,https://www.jsu.edu/admissions/,https://www.jsu.edu/finaid/,https://www.jsu.edu/apply_now.html,https://www.jsu.edu/finaid/,https://www.jsu.edu/post-trad/index.html,https://jaxstatesports.com/sports/2020/8/20/prospective-sa-forms.aspx?id=336,https://www.jsu.edu/disabilityresources/,1,1,1,9,1,1,11,1,2,2,2,2,23,1,A,-2,-2,-2,1,1,1,1,1,2,21,18,17,6,-2,3,5,2,2,2,3,2,-2,-2,11500,1,-2,1015,Calhoun County,103,-85.765321,33.822938,104,2
101505,Jefferson State Community College,Jeff State | JSCC | Jefferson State,2601 Carson Rd,Birmingham,AL,35215-3098,1,5,Keith Brown,President,2058531200,630501357,V5LPAH7EBJK1,00102200,1,www.jeffersonstate.edu/,www.jeffersonstate.edu/admissions/,www.jeffersonstate.edu/financial-aid/,www.jeffersonstate.edu/admissions/application-types-2/,www.jeffersonstate.edu/financial-aid/net-price-calculator/,www.jeffersonstate.edu/financial/veterans/,,https://library.jeffersonstate.edu/ADA,4,2,1,3,1,2,40,1,2,-2,2,2,12,1,A,-2,-2,-2,1,1,1,1,1,4,40,8,2,4,-2,3,1,1,-2,2,3,1,Alabama Community College System,101030,13820,1,142,1073,Jefferson County,106,-86.707233,33.652535,79,1
