ipeds_code,ipeds_description,postSecondaryInstitutionLevelDescriptor
9,"Doctor's degree","uri://ed-fi.org/PostSecondaryInstitutionLevelDescriptor#Doctoral University"
7,"Master's degree","uri://ed-fi.org/PostSecondaryInstitutionLevelDescriptor#Master's College or University"
5,"Bachelor's degree","uri://ed-fi.org/PostSecondaryInstitutionLevelDescriptor#Baccalaureate College"
3,"Associate's degree","uri://ed-fi.org/PostSecondaryInstitutionLevelDescriptor#Associate's College"
0,"Other",
1,"Postsecondary award, certificate or diploma of less than one academic year",
2,"Postsecondary award, certificate or diploma of at least one but less than two academic years","uri://ed-fi.org/PostSecondaryInstitutionLevelDescriptor#Special Focus Institution/Two-Year"
4,"Postsecondary award, certificate or diploma of at least two but less than four academic years","uri://ed-fi.org/PostSecondaryInstitutionLevelDescriptor#Special Focus Institution/Four-Year"
6,"Postbaccalaureate certificate",
8,"Post-master's certificate",
b,"None of the above or no answer",
-2,"Not applicable, first-professional only",
-3,"Not Available",
