ipeds_code,stateAbbreviationDescriptor
AL,uri://ed-fi.org/StateAbbreviationDescriptor#AL
AK,uri://ed-fi.org/StateAbbreviationDescriptor#AK
AZ,uri://ed-fi.org/StateAbbreviationDescriptor#AZ
NM,uri://ed-fi.org/StateAbbreviationDescriptor#NM
AR,uri://ed-fi.org/StateAbbreviationDescriptor#AR
CA,uri://ed-fi.org/StateAbbreviationDescriptor#CA
MN,uri://ed-fi.org/StateAbbreviationDescriptor#MN
CO,uri://ed-fi.org/StateAbbreviationDescriptor#CO
CT,uri://ed-fi.org/StateAbbreviationDescriptor#CT
NY,uri://ed-fi.org/StateAbbreviationDescriptor#NY
DE,uri://ed-fi.org/StateAbbreviationDescriptor#DE
DC,uri://ed-fi.org/StateAbbreviationDescriptor#DC
FL,uri://ed-fi.org/StateAbbreviationDescriptor#FL
GA,uri://ed-fi.org/StateAbbreviationDescriptor#GA
HI,uri://ed-fi.org/StateAbbreviationDescriptor#HI
ID,uri://ed-fi.org/StateAbbreviationDescriptor#ID
IL,uri://ed-fi.org/StateAbbreviationDescriptor#IL
IN,uri://ed-fi.org/StateAbbreviationDescriptor#IN
MI,uri://ed-fi.org/StateAbbreviationDescriptor#MI
IA,uri://ed-fi.org/StateAbbreviationDescriptor#IA
KS,uri://ed-fi.org/StateAbbreviationDescriptor#KS
MO,uri://ed-fi.org/StateAbbreviationDescriptor#MO
KY,uri://ed-fi.org/StateAbbreviationDescriptor#KY
LA,uri://ed-fi.org/StateAbbreviationDescriptor#LA
ME,uri://ed-fi.org/StateAbbreviationDescriptor#ME
MD,uri://ed-fi.org/StateAbbreviationDescriptor#MD
MA,uri://ed-fi.org/StateAbbreviationDescriptor#MA
MS,uri://ed-fi.org/StateAbbreviationDescriptor#MS
MT,uri://ed-fi.org/StateAbbreviationDescriptor#MT
NE,uri://ed-fi.org/StateAbbreviationDescriptor#NE
NV,uri://ed-fi.org/StateAbbreviationDescriptor#NV
NH,uri://ed-fi.org/StateAbbreviationDescriptor#NH
NJ,uri://ed-fi.org/StateAbbreviationDescriptor#NJ
NC,uri://ed-fi.org/StateAbbreviationDescriptor#NC
ND,uri://ed-fi.org/StateAbbreviationDescriptor#ND
OH,uri://ed-fi.org/StateAbbreviationDescriptor#OH
OK,uri://ed-fi.org/StateAbbreviationDescriptor#OK
OR,uri://ed-fi.org/StateAbbreviationDescriptor#OR
PA,uri://ed-fi.org/StateAbbreviationDescriptor#PA
RI,uri://ed-fi.org/StateAbbreviationDescriptor#RI
SC,uri://ed-fi.org/StateAbbreviationDescriptor#SC
SD,uri://ed-fi.org/StateAbbreviationDescriptor#SD
TN,uri://ed-fi.org/StateAbbreviationDescriptor#TN
TX,uri://ed-fi.org/StateAbbreviationDescriptor#TX
UT,uri://ed-fi.org/StateAbbreviationDescriptor#UT
VT,uri://ed-fi.org/StateAbbreviationDescriptor#VT
VA,uri://ed-fi.org/StateAbbreviationDescriptor#VA
WA,uri://ed-fi.org/StateAbbreviationDescriptor#WA
WV,uri://ed-fi.org/StateAbbreviationDescriptor#WV
WI,uri://ed-fi.org/StateAbbreviationDescriptor#WI
WY,uri://ed-fi.org/StateAbbreviationDescriptor#WY
AS,uri://ed-fi.org/StateAbbreviationDescriptor#AS
GU,uri://ed-fi.org/StateAbbreviationDescriptor#GU
MP,uri://ed-fi.org/StateAbbreviationDescriptor#MP
PR,uri://ed-fi.org/StateAbbreviationDescriptor#PR
FM,uri://ed-fi.org/StateAbbreviationDescriptor#FM
PW,uri://ed-fi.org/StateAbbreviationDescriptor#PW
VI,uri://ed-fi.org/StateAbbreviationDescriptor#VI
MH,uri://ed-fi.org/StateAbbreviationDescriptor#MH
